Age,Income,Education Level,Employment Status,Marital Status,ProgramEligibility
43,36031.0,1,1,1,0
44,37059.0,1,1,1,0
28,39763.0,1,1,1,1
44,53831.0,2,1,0,1
33,43637.0,2,2,1,1
38,35686.0,2,1,1,0
52,34532.0,2,1,1,0
40,30283.0,2,1,1,0
38,48851.0,2,1,1,1
43,31200.0,1,1,1,0
39,47908.0,2,1,0,1
35,37916.0,2,1,1,0
44,34692.0,2,1,1,0
32,36492.0,1,1,1,1
34,35768.0,2,0,1,1
54,32513.0,1,1,1,0
31,36832.0,2,1,1,1
47,36627.0,1,1,1,0
47,43406.0,1,1,1,0
41,34205.0,1,1,1,1
43,39155.0,1,1,1,0
41,39184.0,1,1,1,0
39,62652.0,1,1,0,1
39,37156.0,0,1,1,0
26,39316.0,2,1,1,1
40,38556.0,2,1,1,0
38,45736.0,2,1,1,0
51,65765.0,1,1,0,1
37,40275.0,2,1,1,0
40,42094.0,2,1,1,1
47,35429.0,1,2,1,0
35,39505.0,1,1,1,0
57,36175.0,2,2,1,0
40,35819.0,2,1,1,0
50,45621.0,2,1,1,1
57,40049.0,2,1,1,0
49,32732.0,1,1,1,0
45,50352.0,2,1,0,1
57,40635.0,2,1,1,0
40,39582.0,1,1,1,0
36,45113.0,1,1,1,1
41,48749.0,2,2,1,0
32,47554.0,3,1,1,0
59,33098.0,1,1,1,0
38,32795.0,1,1,1,0
37,39367.0,2,1,1,0
43,31686.0,1,1,1,0
30,35867.0,1,1,1,1
55,38628.0,2,1,1,0
44,24533.0,1,1,1,0
45,41258.0,1,1,1,0
36,37084.0,2,1,1,0
27,39141.0,1,1,1,1
63,33688.0,1,2,1,0
29,37007.0,1,1,2,1
48,70000.0,1,1,0,1
33,37011.0,2,2,1,1
48,59684.0,1,1,0,1
49,35848.0,2,1,1,0
50,28591.0,1,2,1,0
35,40314.0,2,1,1,0
49,45598.0,1,1,2,0
42,36223.0,1,1,1,0
43,40518.0,1,1,1,0
30,37916.0,2,0,1,1
45,33208.0,1,1,1,0
34,41227.0,2,1,1,0
41,35791.0,2,1,1,1
39,52963.0,2,1,0,1
27,33486.0,2,1,2,1
42,33708.0,1,1,1,0
46,22719.0,2,1,1,1
44,58060.0,3,2,1,0
25,39204.0,1,1,2,1
34,42915.0,2,1,1,0
41,39647.0,2,1,1,0
49,41038.0,2,2,1,0
48,44185.0,2,1,0,1
35,35142.0,1,1,1,0
34,34906.0,2,1,1,1
36,34314.0,2,1,1,1
44,35276.0,1,1,1,0
34,35085.0,1,1,1,1
39,25475.0,1,1,0,0
41,37911.0,2,1,1,0
24,38787.0,1,1,2,1
39,47672.0,3,1,1,1
33,36743.0,2,1,1,1
46,60196.0,1,1,0,1
32,30527.0,1,1,1,1
51,37231.0,1,1,1,0
40,32439.0,1,1,1,0
47,39813.0,2,1,1,0
48,32578.0,1,1,1,0
43,33602.0,1,1,1,0
28,28084.0,2,0,1,1
49,40500.0,1,1,1,0
51,44243.0,1,1,1,1
41,38528.0,2,1,1,1
39,37718.0,2,1,1,1
52,37576.0,1,1,1,0
43,33632.0,2,1,1,1
36,32579.0,2,1,1,1
60,39459.0,2,2,1,0
52,32551.0,1,2,1,0
43,40138.0,1,1,1,0
38,36129.0,2,1,1,0
39,51812.0,2,2,1,1
41,31130.0,2,1,1,0
30,33318.0,1,0,0,1
27,35674.0,1,0,1,1
43,46780.0,2,2,1,1
49,41424.0,2,2,1,0
35,32460.0,2,1,1,1
45,56796.0,1,1,0,1
45,36870.0,2,1,1,0
38,31917.0,2,2,1,1
43,41794.0,1,1,1,0
40,49469.0,2,1,1,1
43,32310.0,1,1,1,0
30,31279.0,2,1,1,1
44,58376.0,2,1,1,1
39,32531.0,2,1,1,0
40,40244.0,2,1,1,0
40,49192.0,2,1,0,1
45,56229.0,2,1,1,1
51,44161.0,1,1,1,1
42,30035.0,1,1,1,0
55,37103.0,2,1,1,0
43,33519.0,1,1,1,0
47,36266.0,2,2,1,0
38,39900.0,2,1,1,0
43,33117.0,2,1,1,0
42,40942.0,2,1,1,1
18,29594.0,1,1,0,0
46,49274.0,2,2,1,1
34,29735.0,1,1,1,1
45,40852.0,2,1,1,1
50,40610.0,1,1,1,1
44,51864.0,2,1,1,1
52,50525.0,2,1,0,1
28,34990.0,2,1,1,1
38,33249.0,1,1,1,0
29,33147.0,1,1,0,0
37,33591.0,2,1,1,1
55,34915.0,2,1,1,0
46,35319.0,2,1,1,0
48,40184.0,1,1,1,0
41,32952.0,1,1,1,0
35,32863.0,2,2,1,1
42,30169.0,2,1,1,0
34,45243.0,2,2,1,1
60,35822.0,2,1,1,0
30,31583.0,2,1,1,0
40,34059.0,2,1,1,1
42,29296.0,1,1,1,0
41,39165.0,1,1,1,0
51,53013.0,2,1,0,1
46,57538.0,1,1,0,1
37,37890.0,2,0,1,1
37,39301.0,2,1,1,1
43,40944.0,2,1,1,1
37,46339.0,2,1,1,1
36,40692.0,2,1,1,1
35,34353.0,2,1,1,0
38,37889.0,2,1,1,0
28,42336.0,0,1,1,0
49,40259.0,2,1,1,1
58,40265.0,1,1,1,0
38,32062.0,2,1,1,0
40,30472.0,2,1,1,0
37,28756.0,3,1,1,1
44,46339.0,2,1,1,1
40,39387.0,2,1,1,0
44,30134.0,2,1,1,0
34,46074.0,2,1,1,1
37,33645.0,1,1,0,1
34,33313.0,2,1,1,1
36,42012.0,2,1,1,1
46,34594.0,1,1,1,0
30,39855.0,2,0,1,1
36,41841.0,2,1,1,1
40,28032.0,2,1,1,0
50,31460.0,1,1,1,0
44,49276.0,1,1,1,1
43,38026.0,2,2,1,1
46,49563.0,2,2,1,1
38,34929.0,2,1,1,1
34,36717.0,2,1,1,0
39,35874.0,2,1,1,1
34,39463.0,2,1,1,1
37,41873.0,2,1,1,1
40,37219.0,3,1,1,1
36,39280.0,2,1,1,1
34,45732.0,1,1,1,1
51,54845.0,1,1,0,1
39,35304.0,1,1,1,0
48,44010.0,2,1,1,1
47,39357.0,2,1,1,0
45,37482.0,2,1,1,0
26,34307.0,2,1,1,1
54,43708.0,2,2,1,0
53,30259.0,1,2,1,0
46,48971.0,2,2,1,1
38,47058.0,2,1,1,0
39,34200.0,2,1,1,1
57,37968.0,1,1,1,0
39,51175.0,2,2,1,1
40,26939.0,1,1,1,0
49,44101.0,1,1,2,0
38,26198.0,1,1,1,0
44,35026.0,1,1,1,0
37,39317.0,2,1,1,0
39,32079.0,1,1,1,0
35,41761.0,2,1,2,1
32,42122.0,1,1,1,1
42,50512.0,2,2,1,1
34,55775.0,2,1,1,1
51,38783.0,2,1,1,0
34,32346.0,1,1,1,1
26,40440.0,2,1,2,1
53,39945.0,2,1,1,0
41,30175.0,2,1,1,0
42,31283.0,2,1,1,0
44,49081.0,1,1,0,1
47,36401.0,2,1,1,0
42,34565.0,2,1,1,1
33,44320.0,1,1,1,1
31,31821.0,2,1,1,1
33,28549.0,1,1,1,1
41,37895.0,2,1,0,1
38,46592.0,2,1,1,1
39,42217.0,2,1,1,0
47,44009.0,2,2,1,0
59,32564.0,2,1,1,0
38,36185.0,2,2,1,1
47,32162.0,1,1,1,0
39,59830.0,1,1,1,1
53,37080.0,2,1,1,0
41,41059.0,2,1,1,1
34,31673.0,2,1,1,1
43,31045.0,2,1,1,0
34,35245.0,2,1,1,1
29,27024.0,2,1,1,1
37,41785.0,2,2,1,1
27,41231.0,1,1,1,1
46,47543.0,2,1,1,1
35,38318.0,2,1,1,1
34,40781.0,2,1,1,1
45,33896.0,1,1,1,0
40,47130.0,1,1,0,1
57,37897.0,2,1,1,0
46,36101.0,2,1,1,0
32,30249.0,2,0,1,1
37,37192.0,1,1,1,0
54,37969.0,2,1,1,1
31,42768.0,1,1,1,1
44,46242.0,1,1,1,1
43,39009.0,2,1,1,1
37,45256.0,2,1,1,1
43,41245.0,1,1,1,1
40,36014.0,2,1,1,0
41,36810.0,1,1,1,0
51,39430.0,2,2,1,0
45,45387.0,2,1,1,1
34,34975.0,3,1,1,1
43,45244.0,2,2,1,0
30,42716.0,1,1,2,1
58,36086.0,1,2,1,0
40,33377.0,2,1,1,0
33,34379.0,2,1,1,1
39,37964.0,1,1,1,0
56,44075.0,2,1,1,0
38,26457.0,1,1,0,0
30,29536.0,2,1,1,1
29,41160.0,2,1,1,1
34,35493.0,2,1,1,1
39,48977.0,2,1,1,1
49,34530.0,2,1,1,1
41,30580.0,2,1,1,1
32,43774.0,2,2,2,1
45,31700.0,1,1,1,0
30,37320.0,1,1,1,1
32,36221.0,1,1,1,0
33,34753.0,2,1,1,1
47,37106.0,1,1,1,0
38,38186.0,1,1,1,0
27,39527.0,1,0,1,1
52,36081.0,1,1,1,0
25,38814.0,2,1,1,0
32,42172.0,2,1,1,1
30,34671.0,2,1,1,1
34,42550.0,2,1,1,1
42,35493.0,2,1,1,0
35,36515.0,2,1,0,1
26,37318.0,2,1,1,0
27,39120.0,1,1,1,1
46,68775.0,1,1,0,1
50,43730.0,2,1,1,1
41,42405.0,1,1,1,0
51,34763.0,2,1,1,0
42,39013.0,2,1,1,0
43,43790.0,2,1,1,0
56,30545.0,2,1,1,0
39,33893.0,2,1,1,1
31,42909.0,2,2,1,1
41,42153.0,2,1,1,0
44,38642.0,2,1,1,0
39,33260.0,1,1,1,0
43,27619.0,1,1,0,0
41,39267.0,2,1,1,0
29,36207.0,1,1,1,1
24,30981.0,0,1,1,0
42,47726.0,2,1,0,1
53,34153.0,1,1,1,0
48,44025.0,1,1,1,1
46,51896.0,1,1,0,1
45,23202.0,1,1,1,0
37,40059.0,2,0,1,1
46,47682.0,2,2,1,0
36,34667.0,2,1,1,0
50,41420.0,2,2,1,0
35,36456.0,2,1,1,1
38,48268.0,2,1,1,0
52,43127.0,1,1,2,0
43,37351.0,2,1,1,0
33,35163.0,2,1,1,1
36,31181.0,1,1,1,0
42,61041.0,1,1,0,1
43,28357.0,1,1,1,0
50,65587.0,1,1,0,1
41,54561.0,2,1,1,1
30,38167.0,2,0,2,1
60,40134.0,1,2,1,0
48,40465.0,2,1,1,1
41,30432.0,2,1,0,1
30,36235.0,1,1,1,1
47,33298.0,1,2,1,0
54,43763.0,2,2,1,0
49,52534.0,2,1,1,1
28,33323.0,2,1,1,0
36,38984.0,3,1,1,1
37,30424.0,2,1,0,1
50,37605.0,1,1,1,0
55,36049.0,1,2,1,0
42,37107.0,2,0,0,1
44,31071.0,2,1,1,0
49,32298.0,1,1,1,0
45,49574.0,2,1,0,1
45,32433.0,1,1,1,0
42,36274.0,2,1,1,1
50,47561.0,1,1,0,1
48,50388.0,1,1,0,1
62,43028.0,2,2,1,0
38,35270.0,2,1,0,1
50,31392.0,1,1,1,0
32,37137.0,1,1,1,0
46,46485.0,1,1,1,1
33,39939.0,2,1,1,1
27,37771.0,0,1,1,0
35,29798.0,2,1,1,1
31,29115.0,2,1,0,1
38,41342.0,2,1,1,0
47,47329.0,2,2,1,0
38,45225.0,3,1,1,1
32,37619.0,0,1,1,0
37,28861.0,2,1,1,0
47,34868.0,2,1,1,1
54,30629.0,2,1,1,1
43,43149.0,2,1,1,0
40,44901.0,2,1,1,1
49,59815.0,1,1,0,1
45,31606.0,2,1,1,1
31,41027.0,1,1,1,1
42,41914.0,2,2,1,1
58,35920.0,2,1,1,0
54,56184.0,1,1,0,1
33,43581.0,2,1,1,1
27,44379.0,1,1,1,0
54,32520.0,1,2,1,0
41,33089.0,2,1,1,0
49,34116.0,1,2,1,0
49,30761.0,1,1,1,0
42,37553.0,1,1,1,1
31,35021.0,1,1,1,0
41,37575.0,2,1,1,0
47,40904.0,1,1,0,1
51,43029.0,2,1,2,0
44,43173.0,2,1,1,1
42,36533.0,2,1,1,0
50,46953.0,1,1,1,1
52,41205.0,2,1,0,1
54,35275.0,2,1,1,0
32,33550.0,2,2,1,1
36,25839.0,3,1,1,1
28,38555.0,2,1,1,0
30,38730.0,1,1,1,1
31,33894.0,2,1,1,1
36,35519.0,1,1,1,0
36,41847.0,2,1,1,0
45,56574.0,1,1,0,1
38,31942.0,2,1,1,0
46,39503.0,2,1,1,1
43,42641.0,2,1,1,0
41,43396.0,1,2,1,1
46,47830.0,1,1,1,1
42,30480.0,2,1,1,0
34,42913.0,2,1,1,1
34,33573.0,2,1,1,1
43,37700.0,2,1,1,1
49,36282.0,1,1,1,0
48,34642.0,1,1,1,0
42,39259.0,2,1,1,0
32,37522.0,2,1,1,0
31,35252.0,2,1,2,1
41,35377.0,1,1,1,0
54,54119.0,1,1,0,1
42,37656.0,2,1,1,0
41,53315.0,1,1,0,1
43,39548.0,2,1,1,0
43,38898.0,2,1,1,0
29,38493.0,1,1,1,1
50,50330.0,1,1,0,1
47,37106.0,2,1,1,1
38,56939.0,2,1,0,1
30,40548.0,1,1,1,1
30,33310.0,1,1,1,0
45,36051.0,2,1,1,0
35,24933.0,2,1,0,1
33,36922.0,2,1,1,1
39,35269.0,2,1,1,0
36,44660.0,2,2,1,1
35,40649.0,2,1,1,1
38,40616.0,2,1,1,0
43,34618.0,1,1,1,0
40,34602.0,1,1,1,0
39,38373.0,1,1,1,0
41,48233.0,2,1,1,1
44,40532.0,2,1,1,0
32,38289.0,1,1,1,1
32,41702.0,1,1,1,1
38,41229.0,1,1,1,0
32,41060.0,2,1,1,1
34,34605.0,2,1,1,1
31,40845.0,2,1,1,0
29,38302.0,2,1,2,1
37,28437.0,2,1,1,0
62,35280.0,2,1,1,0
34,43452.0,2,1,1,0
36,26997.0,1,1,0,0
42,38910.0,2,1,1,1
32,38225.0,2,1,1,1
39,33122.0,2,1,1,1
33,41394.0,2,2,1,1
41,38706.0,2,1,1,0
44,38557.0,2,1,1,0
33,33461.0,1,1,1,1
40,33990.0,1,1,1,0
32,34653.0,2,0,1,1
41,42737.0,2,1,1,0
47,37389.0,1,1,1,0
43,57198.0,1,1,0,1
49,46278.0,1,1,0,1
49,52100.0,1,1,0,1
35,32026.0,2,1,1,1
30,36373.0,1,1,1,0
42,34562.0,2,1,1,0
38,44301.0,2,1,1,1
41,41261.0,2,1,0,1
51,38960.0,2,1,1,0
22,38821.0,3,0,1,0
33,31292.0,2,1,1,1
46,31122.0,1,1,1,0
50,32771.0,1,1,1,1
29,31401.0,2,1,1,1
54,38863.0,2,1,1,0
46,39679.0,1,1,1,0
29,30729.0,0,1,1,0
45,35193.0,1,1,1,0
49,24181.0,1,1,1,0
35,37215.0,1,1,1,0
34,36271.0,1,1,1,0
39,39545.0,1,1,1,0
43,29383.0,2,1,1,0
41,58727.0,2,1,0,1
53,56718.0,1,1,0,1
49,53494.0,1,1,0,1
30,37380.0,0,1,1,0
47,37750.0,1,1,1,0
50,50720.0,2,1,1,1
40,43093.0,2,1,1,0
37,44119.0,2,2,1,1
58,37405.0,1,2,1,0
53,39311.0,2,2,1,0
34,34659.0,0,1,1,0
31,37562.0,1,1,1,1
24,39658.0,2,1,1,0
31,31234.0,0,1,1,0
45,46625.0,1,2,1,1
45,30898.0,1,1,1,0
33,28960.0,1,1,0,0
33,41501.0,2,0,1,1
45,39499.0,1,1,1,0
42,26625.0,1,1,1,0
33,33333.0,2,1,1,1
31,30128.0,2,1,1,0
45,41109.0,2,1,1,1
45,39824.0,2,1,1,1
42,43580.0,2,2,1,1
57,41550.0,2,1,1,0
31,29361.0,2,1,1,1
48,56118.0,1,2,1,1
49,38451.0,1,1,1,0
42,31379.0,1,1,1,0
50,41371.0,2,2,1,0
44,30516.0,1,1,1,0
36,32657.0,2,1,1,0
44,30441.0,1,1,1,0
34,35109.0,2,1,0,1
42,47374.0,2,1,1,0
43,36189.0,2,1,1,0
36,37649.0,3,2,1,1
32,35008.0,2,1,1,1
38,35140.0,2,1,1,1
36,39141.0,2,1,1,0
37,49961.0,2,1,1,1
42,56150.0,2,1,0,1
47,36195.0,1,1,1,0
39,30894.0,2,1,1,1
43,56811.0,2,1,0,1
28,40316.0,2,1,1,1
50,43123.0,2,1,1,1
40,36440.0,2,1,1,0
38,30823.0,3,1,1,1
31,33317.0,2,1,1,1
45,58183.0,2,1,0,1
38,33686.0,1,1,1,0
50,37918.0,2,1,1,0
47,45234.0,2,1,1,1
41,36888.0,2,1,1,0
36,37878.0,1,1,1,0
41,34652.0,2,1,1,0
48,33391.0,1,1,1,0
35,34394.0,2,1,1,1
44,36454.0,2,1,1,0
39,31177.0,1,1,1,0
41,30035.0,2,1,1,0
30,38441.0,2,0,1,1
41,47798.0,2,1,1,1
41,43382.0,1,1,2,0
41,31033.0,2,1,1,0
27,36850.0,0,1,1,0
37,35525.0,1,1,1,0
45,48887.0,2,1,0,1
30,34174.0,2,1,1,0
39,49248.0,2,1,0,1
55,57189.0,1,1,0,1
36,33926.0,2,1,1,1
28,30190.0,1,1,1,1
30,39134.0,1,1,1,0
48,41347.0,2,2,1,0
55,29578.0,1,2,1,0
35,35099.0,2,1,1,1
52,45848.0,2,1,2,1
43,33641.0,2,1,1,0
42,36364.0,2,1,1,0
36,42625.0,2,1,1,1
38,32348.0,1,1,1,0
40,41661.0,2,1,1,1
53,44447.0,1,1,0,1
32,34884.0,1,1,1,0
45,46986.0,1,1,1,1
50,36455.0,1,1,1,0
50,41778.0,2,1,1,1
42,26569.0,1,1,1,0
36,37112.0,2,1,1,1
37,32029.0,2,1,1,1
36,36402.0,2,1,1,1
34,39769.0,2,1,1,0
44,55326.0,1,2,1,1
53,43580.0,2,1,1,0
40,41219.0,2,2,1,1
43,35531.0,2,1,1,0
49,38241.0,1,1,1,0
44,46032.0,2,1,1,1
38,32759.0,1,1,1,0
33,32733.0,2,2,1,1
45,34471.0,1,1,1,0
40,33549.0,2,1,1,1
49,36354.0,2,1,1,0
46,35241.0,1,1,1,0
34,34561.0,3,1,1,1
41,31800.0,2,1,1,1
44,48203.0,2,1,1,1
33,35166.0,2,1,1,1
40,37619.0,1,1,1,0
28,37032.0,2,1,1,1
28,38063.0,2,1,1,0
47,64857.0,1,1,0,1
37,50513.0,2,1,1,1
43,43344.0,2,1,1,0
49,31605.0,2,1,1,0
27,38728.0,1,2,1,1
47,46184.0,2,1,1,1
47,24191.0,2,1,1,1
33,37376.0,2,1,1,1
53,51682.0,2,2,1,0
34,32041.0,2,1,1,1
34,38871.0,1,1,1,0
56,42843.0,2,1,1,0
44,33906.0,2,1,1,0
29,31688.0,0,1,0,0
39,29869.0,1,1,1,0
53,32330.0,1,1,1,0
50,31261.0,1,1,1,0
45,39429.0,2,1,1,1
43,56460.0,1,1,0,1
33,42907.0,2,1,2,1
42,37843.0,2,1,1,1
39,29998.0,2,1,1,0
30,31510.0,2,1,1,1
32,34901.0,2,1,1,1
37,32336.0,2,1,0,1
36,40325.0,2,1,1,1
32,30938.0,2,1,1,1
39,33680.0,2,0,1,1
59,35397.0,2,1,1,0
53,20000.0,1,1,1,0
45,31578.0,1,1,1,0
40,37071.0,2,1,1,1
58,31462.0,1,2,1,0
55,33975.0,1,1,1,0
31,35470.0,2,1,1,1
42,30273.0,1,1,1,0
33,35189.0,2,1,1,1
37,29663.0,2,1,1,0
45,40166.0,2,1,1,0
40,41382.0,2,1,1,1
33,33865.0,2,1,1,1
35,46832.0,2,1,1,0
47,40745.0,2,2,1,0
47,35777.0,2,1,1,0
35,35996.0,2,1,1,0
42,40778.0,2,1,1,1
30,32578.0,2,1,1,1
49,32909.0,2,1,1,0
42,40631.0,1,1,1,0
33,32220.0,2,0,1,1
42,33135.0,1,1,1,0
29,37644.0,1,1,2,1
24,42040.0,2,1,1,0
42,58963.0,1,1,0,1
30,35438.0,2,1,1,0
38,57006.0,2,2,1,1
39,37471.0,1,1,1,0
41,34611.0,1,1,1,0
42,36264.0,2,1,1,0
