Age,Income,Education Level,Employment Status,Marital Status
29,37644.0,1,1,2
39,50472.0,2,2,1
60,40134.0,1,2,1
50,41420.0,2,2,1
49,52534.0,2,1,1
47,37132.0,2,2,1
48,56271.0,1,1,0
40,49192.0,2,1,0
40,36014.0,2,1,1
45,36181.0,1,1,1
44,43996.0,2,1,1
48,59684.0,1,1,0
35,35499.0,1,1,1
47,36401.0,2,1,1
47,24191.0,2,1,1
43,37351.0,2,1,1
41,58727.0,2,1,0
38,32980.0,1,1,1
40,34059.0,2,1,1
33,37954.0,2,1,1
44,46339.0,2,1,1
37,33591.0,2,1,1
47,64857.0,1,1,0
44,33906.0,2,1,1
34,33573.0,2,1,1
54,34285.0,1,1,1
40,40244.0,2,1,1
35,46832.0,2,1,1
36,37649.0,3,2,1
50,35634.0,1,2,1
42,39259.0,2,1,1
43,46780.0,2,2,1
35,30879.0,2,1,1
49,24181.0,1,1,1
43,27597.0,2,1,1
43,45244.0,2,2,1
43,40518.0,1,1,1
43,34873.0,3,2,1
27,39141.0,1,1,1
49,53494.0,1,1,0
47,48808.0,2,1,0
47,36197.0,2,1,1
41,38621.0,1,1,1
52,36482.0,2,1,1
41,37911.0,2,1,1
36,25839.0,3,1,1
49,36354.0,2,1,1
39,52963.0,2,1,0
37,37890.0,2,0,1
41,30580.0,2,1,1
55,29578.0,1,2,1
50,46672.0,1,1,1
33,39939.0,2,1,1
40,38429.0,2,1,1
38,38186.0,1,1,1
31,38499.0,0,1,1
42,36274.0,2,1,1
44,34692.0,2,1,1
50,36455.0,1,1,1
37,46339.0,2,1,1
56,36572.0,1,2,1
31,33171.0,2,1,1
32,34653.0,2,0,1
44,30134.0,2,1,1
35,40754.0,1,1,1
44,41182.0,2,1,1
43,44783.0,2,1,1
32,42122.0,1,1,1
35,32164.0,2,1,1
34,38978.0,2,1,1
34,31673.0,2,1,1
45,48887.0,2,1,0
46,47682.0,2,2,1
38,31236.0,2,1,1
39,36023.0,2,1,1
54,43708.0,2,2,1
29,38493.0,1,1,1
48,38556.0,1,1,1
34,34561.0,3,1,1
47,40745.0,2,2,1
51,44243.0,1,1,1
40,39602.0,1,1,1
42,37439.0,1,1,1
48,44185.0,2,1,0
51,31140.0,1,2,1
37,37702.0,2,1,1
35,35099.0,2,1,1
35,32026.0,2,1,1
44,36490.0,1,1,1
37,28756.0,3,1,1
43,42641.0,2,1,1
57,36175.0,2,2,1
27,33486.0,2,1,2
52,37021.0,1,1,1
34,33301.0,1,1,1
40,38829.0,1,1,1
50,41371.0,2,2,1
42,48027.0,2,1,0
44,35276.0,1,1,1
41,34611.0,1,1,1
52,23236.0,1,1,1
47,39357.0,2,1,1
42,30035.0,1,1,1
62,43028.0,2,2,1
55,38628.0,2,1,1
51,54111.0,0,1,0
50,37918.0,2,1,1
34,35109.0,2,1,0
38,33686.0,1,1,1
46,49274.0,2,2,1
34,34975.0,3,1,1
45,49574.0,2,1,0
34,37159.0,2,1,1
33,37537.0,1,2,1
57,36820.0,1,2,1
55,57189.0,1,1,0
28,38555.0,2,1,1
39,39545.0,1,1,1
33,32733.0,2,2,1
40,65629.0,2,1,0
54,32513.0,1,1,1
50,65587.0,1,1,0
46,68775.0,1,1,0
33,31292.0,2,1,1
35,33920.0,2,1,1
50,37676.0,1,1,1
45,41258.0,1,1,1
27,30356.0,2,1,1
41,37575.0,2,1,1
54,40524.0,2,1,1
45,55966.0,2,1,0
29,34166.0,1,1,1
55,36049.0,1,2,1
48,40465.0,2,1,1
29,32292.0,0,1,1
40,42094.0,2,1,1
30,37380.0,0,1,1
32,41702.0,1,1,1
32,38225.0,2,1,1
32,37522.0,2,1,1
48,38626.0,2,1,1
27,41231.0,1,1,1
33,27765.0,2,1,1
45,53603.0,2,1,1
40,41382.0,2,1,1
41,43400.0,2,1,1
44,55326.0,1,2,1
42,41818.0,3,2,1
47,45914.0,2,1,1
41,41059.0,2,1,1
40,40692.0,2,2,1
30,35483.0,2,1,1
37,35604.0,3,1,1
29,27024.0,2,1,1
55,35736.0,2,1,1
40,26939.0,1,1,1
35,37916.0,2,1,1
37,28437.0,2,1,1
33,37376.0,2,1,1
29,32656.0,2,1,1
41,34571.0,2,1,1
33,29654.0,3,2,1
38,37889.0,2,1,1
39,32877.0,1,1,1
47,39813.0,2,1,1
34,35182.0,1,1,1
45,29446.0,1,1,1
37,33750.0,2,1,1
36,32579.0,2,1,1
48,44010.0,2,1,1
51,31372.0,1,1,1
34,39769.0,2,1,1
35,40649.0,2,1,1
53,44447.0,1,1,0
42,34695.0,2,1,1
43,35531.0,2,1,1
41,31800.0,2,1,1
38,46592.0,2,1,1
40,55305.0,2,1,1
28,30190.0,1,1,1
44,38642.0,2,1,1
46,45949.0,1,1,1
21,30193.0,1,1,0
45,40166.0,2,1,1
35,35319.0,1,1,1
43,56811.0,2,1,0
30,29887.0,2,1,1
43,29383.0,2,1,1
43,42685.0,2,2,1
26,29902.0,2,0,1
54,54119.0,1,1,0
35,38585.0,2,1,1
35,32863.0,2,2,1
48,40184.0,1,1,1
45,35193.0,1,1,1
53,34153.0,1,1,1
42,43580.0,2,2,1
45,56574.0,1,1,0
32,34158.0,1,1,1
53,60185.0,1,1,0
39,32051.0,2,1,1
38,39900.0,2,1,1
38,44302.0,2,1,1
46,39101.0,1,1,1
47,40904.0,1,1,0
45,46986.0,1,1,1
40,43093.0,2,1,1
45,62445.0,1,1,0
45,58183.0,2,1,0
45,55437.0,2,1,0
30,39855.0,2,0,1
54,32520.0,1,2,1
65,33782.0,1,2,1
35,39505.0,1,1,1
29,31401.0,2,1,1
41,42405.0,1,1,1
50,47561.0,1,1,0
47,37389.0,1,1,1
39,29998.0,2,1,1
45,45711.0,2,1,1
54,43763.0,2,2,1
40,38556.0,2,1,1
38,33249.0,1,1,1
39,30858.0,0,1,1
36,32657.0,2,1,1
54,30629.0,2,1,1
33,42907.0,2,1,2
49,34530.0,2,1,1
50,31261.0,1,1,1
42,50512.0,2,2,1
41,32478.0,2,1,1
39,28077.0,1,1,1
34,43452.0,2,1,1
32,46285.0,2,0,2
38,44301.0,2,1,1
51,43029.0,2,1,2
49,41038.0,2,2,1
37,41873.0,2,1,1
63,33688.0,1,2,1
44,40543.0,1,1,1
41,62709.0,2,1,0
40,41219.0,2,2,1
30,36235.0,1,1,1
37,34109.0,1,1,1
31,33618.0,2,1,1
42,27377.0,1,1,1
47,33298.0,1,2,1
40,30283.0,2,1,1
41,39184.0,1,1,1
55,37103.0,2,1,1
40,37550.0,3,1,1
52,37868.0,1,1,1
54,56967.0,1,1,0
28,42336.0,0,1,1
50,36721.0,1,1,1
29,33147.0,1,1,0
50,36652.0,1,1,1
53,39311.0,2,2,1
33,35189.0,2,1,1
52,45848.0,2,1,2
45,39429.0,2,1,1
39,44620.0,2,2,1
32,37619.0,0,1,1
47,36266.0,2,2,1
49,38451.0,1,1,1
45,46625.0,1,2,1
49,52100.0,1,1,0
47,35777.0,2,1,1
32,37700.0,2,1,1
43,43149.0,2,1,1
42,40778.0,2,1,1
35,37215.0,1,1,1
31,33317.0,2,1,1
33,32220.0,2,0,1
48,50388.0,1,1,0
27,38728.0,1,2,1
47,37750.0,1,1,1
45,56796.0,1,1,0
35,37160.0,2,1,1
39,59830.0,1,1,1
51,46616.0,1,1,0
30,38441.0,2,0,1
38,32062.0,2,1,1
44,49081.0,1,1,0
54,36202.0,1,1,1
43,39548.0,2,1,1
44,32626.0,2,1,1
28,38063.0,2,1,1
41,30432.0,2,1,0
36,41847.0,2,1,1
43,33632.0,2,1,1
43,39305.0,1,1,1
32,34884.0,1,1,1
49,35162.0,1,1,1
42,31379.0,1,1,1
41,43396.0,1,2,1
37,39367.0,2,1,1
54,56184.0,1,1,0
50,40610.0,1,1,1
59,35397.0,2,1,1
41,48233.0,2,1,1
39,47672.0,3,1,1
36,37303.0,2,1,1
46,31122.0,1,1,1
50,31392.0,1,1,1
35,29798.0,2,1,1
39,47908.0,2,1,0
52,32551.0,1,2,1
49,41424.0,2,2,1
35,28240.0,2,1,1
45,32894.0,2,1,1
48,33391.0,1,1,1
26,34307.0,2,1,1
41,39647.0,2,1,1
47,44009.0,2,2,1
47,34868.0,2,1,1
40,34894.0,2,1,1
42,36264.0,2,1,1
42,30273.0,1,1,1
49,32298.0,1,1,1
49,38241.0,1,1,1
50,43123.0,2,1,1
31,41027.0,1,1,1
42,26569.0,1,1,1
33,34753.0,2,1,1
40,48893.0,2,1,1
31,42909.0,2,2,1
38,35140.0,2,1,1
39,35944.0,1,1,1
38,44150.0,2,1,1
30,33310.0,1,1,1
43,49842.0,2,1,1
46,36101.0,2,1,1
41,40867.0,2,1,1
58,36086.0,1,2,1
40,40144.0,2,1,1
49,30761.0,1,1,1
42,37843.0,2,1,1
38,32759.0,1,1,1
36,37112.0,2,1,1
39,40681.0,2,1,1
43,57198.0,1,1,0
38,29886.0,1,1,1
30,34671.0,2,1,1
45,41398.0,2,1,1
22,38821.0,3,0,1
43,43790.0,2,1,1
41,53315.0,1,1,0
34,36717.0,2,1,1
45,31700.0,1,1,1
43,56460.0,1,1,0
48,56243.0,1,1,0
30,31279.0,2,1,1
32,35008.0,2,1,1
45,56229.0,2,1,1
34,34659.0,0,1,1
37,32029.0,2,1,1
43,42935.0,2,1,1
35,38612.0,2,1,1
24,39658.0,2,1,1
40,44901.0,2,1,1
37,36948.0,2,1,1
28,33323.0,2,1,1
42,34562.0,2,1,1
30,29536.0,2,1,1
33,41394.0,2,2,1
48,34642.0,1,1,1
55,27912.0,1,1,1
40,36440.0,2,1,1
44,38557.0,2,1,1
42,39013.0,2,1,1
18,29594.0,1,1,0
41,37895.0,2,1,0
49,45407.0,1,1,0
36,31268.0,0,1,1
45,39824.0,2,1,1
38,32348.0,1,1,1
54,49051.0,2,2,1
40,27599.0,2,1,1
31,32453.0,2,1,1
34,38871.0,1,1,1
40,30720.0,2,1,1
34,55775.0,2,1,1
33,28960.0,1,1,0
38,36129.0,2,1,1
31,36832.0,2,1,1
46,35319.0,2,1,1
46,39503.0,2,1,1
43,32310.0,1,1,1
36,34667.0,2,1,1
42,34565.0,2,1,1
46,46120.0,2,1,1
31,38593.0,2,1,1
45,37482.0,2,1,1
58,35920.0,2,1,1
32,33245.0,1,1,1
45,36783.0,1,1,1
34,40781.0,2,1,1
36,42625.0,2,1,1
50,32688.0,1,1,1
53,39399.0,2,1,1
36,37878.0,1,1,1
45,56652.0,1,1,0
30,41441.0,2,1,1
57,37045.0,1,2,1
26,40440.0,2,1,2
39,51812.0,2,2,1
48,50732.0,1,1,0
37,44119.0,2,2,1
37,43222.0,2,1,1
42,47374.0,2,1,1
46,45142.0,2,1,1
53,51682.0,2,2,1
45,33208.0,1,1,1
46,39679.0,1,1,1
62,35280.0,2,1,1
39,33122.0,2,1,1
39,37156.0,0,1,1
33,36922.0,2,1,1
38,39228.0,1,1,1
41,38706.0,2,1,1
39,35874.0,2,1,1
50,31460.0,1,1,1
41,46569.0,2,1,1
35,34394.0,2,1,1
46,35241.0,1,1,1
45,52366.0,1,1,0
53,23677.0,1,1,1
38,43204.0,2,1,1
32,36221.0,1,1,1
40,33990.0,1,1,1
43,33519.0,1,1,1
39,35269.0,2,1,1
38,47058.0,2,1,1
41,43382.0,1,1,2
45,30898.0,1,1,1
40,35260.0,2,1,1
42,35493.0,2,1,1
43,41794.0,1,1,1
42,47076.0,2,1,1
33,32973.0,1,1,0
39,39372.0,1,1,1
25,38814.0,2,1,1
61,33659.0,1,2,1
38,31050.0,2,1,1
38,32136.0,2,1,1
42,26625.0,1,1,1
47,32162.0,1,1,1
42,29296.0,1,1,1
40,28032.0,2,1,1
43,33602.0,1,1,1
40,45348.0,2,1,0
41,35791.0,2,1,1
39,33680.0,2,0,1
34,42550.0,2,1,1
25,39204.0,1,1,2
33,33333.0,2,1,1
35,43773.0,2,1,1
56,35323.0,1,2,1
59,33098.0,1,1,1
42,61041.0,1,1,0
45,36870.0,2,1,1
44,37059.0,1,1,1
42,32302.0,1,1,1
40,41661.0,2,1,1
44,39357.0,2,1,1
42,41914.0,2,2,1
41,30035.0,2,1,1
37,39317.0,2,1,1
37,27026.0,3,1,1
39,42217.0,2,1,1
30,39134.0,1,1,1
36,37303.0,2,1,1
35,36515.0,2,1,0
47,46184.0,2,1,1
32,42172.0,2,1,1
31,35252.0,2,1,2
39,37095.0,2,1,1
31,29361.0,2,1,1
45,36051.0,2,1,1
46,48971.0,2,2,1
43,37700.0,2,1,1
53,37080.0,2,1,1
44,31830.0,1,1,1
53,30259.0,1,2,1
52,36081.0,1,1,1
44,46032.0,2,1,1
54,38863.0,2,1,1
43,50003.0,1,1,1
50,40851.0,2,1,1
41,48749.0,2,2,1
38,34929.0,2,1,1
49,59406.0,1,1,0
33,43637.0,2,2,1
36,35085.0,1,1,1
39,48886.0,3,2,1
35,32460.0,2,1,1
38,30823.0,3,1,1
28,34990.0,2,1,1
34,32346.0,1,1,1
46,22719.0,2,1,1
31,31234.0,0,1,1
49,32732.0,1,1,1
42,36533.0,2,1,1
34,42793.0,1,1,1
52,41205.0,2,1,0
37,50513.0,2,1,1
45,63991.0,1,1,0
52,37576.0,1,1,1
35,38187.0,2,1,1
46,49563.0,2,2,1
49,35848.0,2,1,1
47,29599.0,2,1,1
34,45732.0,1,1,1
37,34347.0,2,2,1
37,30424.0,2,1,0
46,29358.0,1,1,1
35,24933.0,2,1,0
37,34720.0,2,1,1
40,35332.0,1,1,1
40,31428.0,2,1,1
40,33549.0,2,1,1
36,40692.0,2,1,1
47,55049.0,1,1,0
