Setting_1,Setting_2,Setting_3,LPC_outlet_temperature,Physical_fan_speed,Corrected_core_speed,Burner_fuel_air_ratio,Maintenance_Status
0.0028,0.0002,100.0,643.43,2388.17,8131.17,0.03,2
10.0063,0.25,100.0,604.68,2318.97,8129.35,0.03,1
42.001,0.84,100.0,549.48,2211.66,8071.67,0.02,1
42.0068,0.8415,100.0,550.2,2211.78,8083.91,0.02,1
24.9986,0.62,60.0,537.07,1915.22,7872.33,0.02,2
20.005,0.7008,100.0,607.37,2324.06,8064.18,0.02,1
0.0022,0.0,100.0,642.84,2388.18,8127.52,0.03,1
24.9993,0.62,60.0,537.33,1915.14,7864.07,0.02,3
25.0072,0.62,60.0,537.15,1914.93,7859.6,0.02,3
35.0042,0.84,100.0,556.11,2223.33,8088.24,0.02,1
0.0006,0.0014,100.0,642.66,2388.07,8152.37,0.03,1
34.9992,0.8418,100.0,556.24,2223.11,8073.11,0.02,1
19.9984,0.7008,100.0,608.02,2324.09,8056.41,0.02,3
35.0057,0.84,100.0,556.25,2223.13,8078.48,0.02,2
0.0012,0.0,100.0,642.92,2388.19,8122.88,0.03,1
0.0015,0.0,100.0,643.32,2388.16,8155.21,0.03,3
20.0023,0.701,100.0,608.03,2324.11,8052.19,0.03,3
24.9984,0.62,60.0,536.89,1915.28,7873.21,0.02,0
19.998,0.7,100.0,608.01,2324.04,8061.38,0.02,2
10.0079,0.2519,100.0,605.55,2319.15,8132.23,0.03,3
35.0077,0.84,100.0,555.81,2223.67,8107.83,0.02,2
41.999,0.84,100.0,549.7,2212.09,8088.93,0.02,1
41.9981,0.84,100.0,550.42,2211.85,8083.8,0.02,1
42.0045,0.8418,100.0,549.61,2212.16,8096.48,0.02,1
20.0072,0.7014,100.0,607.97,2324.13,8068.51,0.03,2
0.0011,0.0012,100.0,642.74,2388.12,8131.54,0.03,1
25.0025,0.6204,60.0,536.99,1915.39,7875.53,0.02,1
35.0009,0.84,100.0,556.1,2223.32,8085.73,0.02,2
25.0035,0.62,60.0,537.65,1916.47,7929.38,0.02,2
25.0068,0.621,60.0,536.92,1915.38,7875.59,0.02,1
20.0045,0.7012,100.0,608.11,2324.06,8047.85,0.03,3
10.0076,0.25,100.0,605.32,2319.0,8127.13,0.03,2
35.003,0.84,100.0,556.01,2223.03,8069.25,0.02,1
35.0031,0.84,100.0,555.33,2222.8,8054.94,0.02,0
25.0049,0.62,60.0,537.4,1915.83,7896.21,0.02,2
35.0006,0.8413,100.0,555.67,2223.07,8066.64,0.02,0
0.002,0.0006,100.0,642.31,2388.14,8145.79,0.03,1
10.0079,0.25,100.0,605.42,2318.97,8139.37,0.03,1
41.9985,0.8418,100.0,549.63,2212.03,8097.73,0.02,3
10.0032,0.25,100.0,604.81,2318.87,8145.14,0.03,1
25.0065,0.62,60.0,536.86,1915.36,7880.96,0.02,2
25.0052,0.62,60.0,536.98,1915.24,7871.29,0.02,3
42.0076,0.84,100.0,550.57,2211.58,8071.9,0.02,3
42.0049,0.84,100.0,549.32,2211.95,8093.01,0.02,1
41.9992,0.8405,100.0,549.78,2212.09,8087.97,0.02,1
9.9987,0.25,100.0,605.96,2319.15,8129.18,0.03,3
20.0056,0.7,100.0,608.45,2324.44,8110.47,0.03,3
10.0043,0.25,100.0,606.31,2319.2,8209.77,0.03,3
0.0008,0.0,100.0,643.4,2388.17,8189.38,0.03,3
0.0002,0.0,100.0,643.0,2388.18,8124.22,0.03,2
0.0007,0.0,100.0,643.47,2388.23,8121.7,0.03,3
41.998,0.8409,100.0,549.09,2211.88,8086.98,0.02,1
10.0031,0.2514,100.0,604.5,2318.95,8129.66,0.03,1
20.0067,0.7009,100.0,607.55,2324.09,8066.4,0.02,3
0.0028,0.0002,100.0,642.8,2388.12,8144.89,0.03,1
20.0026,0.7,100.0,608.17,2324.11,8063.76,0.03,3
0.0012,0.0008,100.0,642.97,2388.09,8136.53,0.03,1
0.0027,0.0013,100.0,643.04,2388.14,8138.51,0.03,1
10.0029,0.25,100.0,605.46,2319.13,8124.37,0.03,3
42.0045,0.8417,100.0,550.56,2211.66,8078.05,0.02,3
20.0056,0.702,100.0,608.63,2324.13,8058.65,0.03,3
25.0079,0.62,60.0,537.19,1915.38,7872.65,0.02,1
19.9983,0.7,100.0,607.66,2323.99,8059.28,0.02,1
25.008,0.62,60.0,537.1,1915.01,7864.5,0.02,3
42.0042,0.8419,100.0,550.07,2211.77,8075.22,0.02,1
0.0017,0.0,100.0,643.57,2388.32,8119.75,0.03,3
41.999,0.84,100.0,550.3,2211.53,8066.36,0.02,3
0.0025,0.0017,100.0,642.41,2388.12,8169.89,0.03,1
0.0011,0.0004,100.0,641.81,2388.04,8136.15,0.03,0
10.0079,0.2504,100.0,604.83,2319.03,8175.28,0.03,2
10.0025,0.25,100.0,605.52,2319.05,8131.17,0.03,2
10.0078,0.2515,100.0,604.97,2318.95,8127.6,0.03,2
42.0056,0.84,100.0,550.23,2212.38,8113.53,0.02,3
25.0027,0.6201,60.0,536.71,1915.28,7870.22,0.02,2
19.9994,0.7,100.0,608.11,2324.32,8102.61,0.03,3
10.0047,0.25,100.0,606.16,2319.12,8146.12,0.03,3
35.0026,0.84,100.0,555.35,2222.95,8067.18,0.02,1
25.0069,0.62,60.0,537.08,1915.44,7885.95,0.02,0
42.0013,0.84,100.0,550.45,2212.66,8129.18,0.02,3
42.0037,0.8405,100.0,549.92,2212.01,8092.96,0.02,2
25.0023,0.62,60.0,536.98,1915.31,7869.68,0.02,2
20.0064,0.7,100.0,608.01,2323.92,8057.07,0.02,1
10.0056,0.2502,100.0,605.66,2319.06,8170.6,0.03,3
35.0051,0.8414,100.0,556.34,2223.02,8075.75,0.02,0
35.0018,0.8413,100.0,556.25,2223.18,8081.23,0.02,2
35.003,0.84,100.0,555.99,2222.87,8060.93,0.02,2
0.0004,0.0,100.0,642.95,2388.13,8130.76,0.03,1
41.9981,0.84,100.0,550.27,2212.46,8123.45,0.02,3
25.0001,0.621,60.0,537.29,1915.32,7875.41,0.02,2
35.0038,0.84,100.0,556.5,2223.39,8090.16,0.02,3
10.005,0.2509,100.0,605.13,2319.06,8169.21,0.03,2
24.9992,0.6215,60.0,536.79,1915.6,7889.47,0.02,1
42.0033,0.84,100.0,549.44,2212.21,8102.91,0.02,0
25.0014,0.6209,60.0,537.56,1915.14,7873.66,0.02,3
0.0012,0.0016,100.0,641.93,2388.03,8142.49,0.03,1
42.005,0.84,100.0,550.76,2211.65,8078.69,0.02,3
35.0068,0.8417,100.0,556.1,2223.09,8076.7,0.02,1
42.003,0.841,100.0,549.28,2212.22,8100.44,0.02,1
0.0002,0.0011,100.0,643.28,2388.18,8133.43,0.03,3
19.9983,0.7009,100.0,607.3,2324.02,8072.43,0.02,1
0.0014,0.0,100.0,642.37,2388.03,8161.74,0.03,0
42.0073,0.84,100.0,549.87,2212.3,8103.94,0.02,1
35.0073,0.84,100.0,556.24,2224.23,8137.5,0.02,3
42.0076,0.84,100.0,550.03,2212.06,8091.17,0.02,1
0.0023,0.0011,100.0,643.64,2388.25,8151.18,0.03,3
25.0074,0.62,60.0,536.98,1915.3,7874.4,0.02,2
0.0028,0.0002,100.0,643.2,2388.21,8131.36,0.03,2
42.0074,0.8413,100.0,550.41,2211.69,8077.58,0.02,0
34.9992,0.84,100.0,556.19,2222.59,8044.95,0.02,3
10.0039,0.2519,100.0,604.45,2318.86,8141.47,0.03,0
42.007,0.84,100.0,549.88,2211.98,8085.98,0.02,1
0.0025,0.0002,100.0,642.2,2388.05,8165.95,0.03,1
10.0072,0.2512,100.0,604.21,2318.88,8145.34,0.03,1
10.0002,0.25,100.0,605.46,2319.02,8165.63,0.03,1
25.0,0.62,60.0,537.0,1915.57,7876.25,0.02,1
20.001,0.7,100.0,607.46,2324.04,8056.17,0.02,1
20.0039,0.7,100.0,608.02,2323.95,8055.34,0.02,1
0.0009,0.0016,100.0,643.35,2388.17,8129.69,0.03,1
10.0025,0.2504,100.0,604.99,2318.93,8127.68,0.03,0
0.0009,0.0019,100.0,642.6,2388.09,8135.08,0.03,1
10.0031,0.2509,100.0,604.51,2318.97,8130.3,0.03,1
42.0062,0.84,100.0,549.66,2211.7,8074.11,0.02,1
0.0015,0.0001,100.0,643.02,2388.09,8158.54,0.03,2
25.0078,0.62,60.0,537.19,1916.18,7915.03,0.02,3
0.002,0.0,100.0,643.39,2388.17,8131.42,0.03,3
35.0016,0.8406,100.0,556.89,2222.86,8062.38,0.02,3
0.0016,0.0015,100.0,643.34,2388.16,8244.37,0.03,3
20.0051,0.7,100.0,607.56,2324.09,8060.22,0.03,2
0.0018,0.0,100.0,643.63,2388.21,8118.01,0.03,3
25.0049,0.6213,60.0,537.3,1915.41,7876.92,0.02,1
25.0037,0.6212,60.0,537.03,1915.19,7868.95,0.02,1
0.0029,0.0012,100.0,643.86,2388.11,8181.66,0.03,3
34.9992,0.8403,100.0,556.0,2223.36,8090.45,0.02,1
25.0061,0.6209,60.0,536.42,1915.66,7888.92,0.02,0
0.0028,0.0006,100.0,644.13,2388.32,8116.13,0.03,3
41.9999,0.8405,100.0,550.43,2211.57,8063.31,0.02,2
20.0058,0.7003,100.0,607.47,2324.06,8076.43,0.02,1
19.9994,0.7,100.0,608.21,2324.07,8074.15,0.02,1
34.9981,0.8404,100.0,556.38,2223.27,8081.44,0.02,2
0.0007,0.0004,100.0,643.07,2388.11,8154.65,0.03,2
25.0008,0.6208,60.0,537.03,1915.57,7885.68,0.02,3
24.9998,0.62,60.0,536.38,1915.27,7872.44,0.02,1
42.0072,0.8401,100.0,549.91,2211.83,8084.2,0.02,1
0.0007,0.0,100.0,642.63,2388.08,8146.43,0.03,1
10.0051,0.2509,100.0,605.56,2318.96,8154.56,0.03,2
0.0002,0.0,100.0,643.59,2388.16,8152.74,0.03,2
35.0036,0.84,100.0,555.65,2223.07,8075.55,0.02,1
34.9984,0.8406,100.0,555.9,2223.34,8085.02,0.02,1
10.0078,0.25,100.0,604.83,2319.06,8122.56,0.03,1
10.0054,0.2511,100.0,605.03,2319.0,8126.58,0.03,1
20.0054,0.7,100.0,607.25,2323.95,8068.16,0.02,1
35.0063,0.8403,100.0,556.34,2223.7,8112.32,0.02,3
0.0013,0.0013,100.0,642.37,2388.11,8146.48,0.03,1
9.999,0.25,100.0,605.46,2319.14,8128.43,0.03,2
20.0028,0.7,100.0,607.66,2324.05,8056.11,0.02,1
20.0009,0.7017,100.0,608.68,2324.24,8080.74,0.03,3
0.0026,0.0015,100.0,643.53,2388.14,8123.72,0.03,2
42.0004,0.8407,100.0,550.07,2212.07,8098.9,0.02,2
42.0009,0.84,100.0,549.55,2212.0,8086.51,0.02,1
25.0031,0.62,60.0,536.65,1915.72,7894.09,0.02,1
10.0049,0.25,100.0,605.42,2319.06,8133.8,0.03,3
41.999,0.84,100.0,549.49,2212.19,8095.05,0.02,1
25.0045,0.62,60.0,537.25,1915.38,7878.1,0.02,0
20.0048,0.7,100.0,607.26,2323.92,8047.84,0.02,1
20.0067,0.7,100.0,608.56,2324.1,8064.37,0.03,2
20.0051,0.7,100.0,607.62,2324.06,8062.68,0.03,2
35.0069,0.8403,100.0,555.65,2223.17,8085.06,0.02,1
42.0067,0.841,100.0,549.95,2212.02,8095.33,0.02,1
25.0033,0.6204,60.0,537.49,1915.62,7893.65,0.02,3
41.9984,0.8416,100.0,549.79,2212.02,8091.88,0.02,1
42.0019,0.8401,100.0,549.73,2211.85,8082.47,0.02,1
25.0014,0.62,60.0,536.93,1915.05,7860.82,0.02,2
41.9988,0.84,100.0,549.69,2211.82,8081.92,0.02,3
19.999,0.7005,100.0,608.07,2324.18,8068.73,0.02,2
0.002,0.0007,100.0,643.02,2388.13,8142.15,0.03,3
25.0078,0.621,60.0,536.32,1915.45,7884.94,0.02,0
10.0016,0.2511,100.0,605.8,2319.07,8117.73,0.03,2
42.0035,0.8411,100.0,549.85,2212.87,8137.25,0.02,2
10.0024,0.25,100.0,604.28,2318.84,8139.75,0.03,1
42.0005,0.8412,100.0,550.01,2212.16,8100.08,0.02,3
20.0024,0.7007,100.0,606.85,2324.0,8072.17,0.02,0
0.0011,0.0,100.0,642.95,2388.12,8146.37,0.03,1
25.0058,0.62,60.0,537.12,1915.36,7881.36,0.02,1
25.0043,0.6201,60.0,536.53,1915.37,7870.33,0.02,1
35.0037,0.84,100.0,556.63,2223.05,8072.98,0.02,3
42.0017,0.84,100.0,549.52,2211.84,8085.99,0.02,1
20.0078,0.7,100.0,608.01,2324.14,8078.6,0.02,1
41.9999,0.8418,100.0,550.59,2212.23,8100.95,0.02,3
35.0055,0.8417,100.0,555.87,2223.38,8082.95,0.02,1
25.0013,0.62,60.0,536.65,1915.4,7882.37,0.02,0
42.0024,0.84,100.0,549.15,2211.91,8090.48,0.02,0
42.0016,0.84,100.0,549.69,2211.68,8071.55,0.02,3
42.008,0.84,100.0,550.17,2211.73,8080.84,0.02,3
25.0071,0.6204,60.0,537.12,1915.44,7886.01,0.02,1
35.0047,0.8418,100.0,556.01,2223.26,8089.44,0.02,1
25.0054,0.6207,60.0,537.12,1915.15,7866.71,0.02,1
9.9987,0.25,100.0,605.35,2319.01,8160.51,0.03,2
20.0029,0.7003,100.0,608.15,2324.06,8040.41,0.03,3
42.0038,0.8417,100.0,549.62,2212.19,8104.64,0.02,2
0.0008,0.0,100.0,643.31,2388.27,8124.36,0.03,3
41.999,0.84,100.0,549.22,2212.04,8091.94,0.02,1
0.0019,0.0,100.0,642.71,2388.09,8147.25,0.03,1
35.0023,0.84,100.0,555.87,2222.94,8062.85,0.02,2
25.001,0.62,60.0,537.01,1915.62,7890.23,0.02,3
25.0024,0.6211,60.0,537.0,1915.76,7893.94,0.02,2
42.004,0.8406,100.0,550.69,2213.8,8194.23,0.02,3
20.0065,0.7,100.0,607.81,2324.01,8055.09,0.03,2
20.0045,0.7011,100.0,607.49,2324.08,8065.37,0.02,1
10.0017,0.25,100.0,605.34,2319.02,8122.36,0.03,2
20.0009,0.7,100.0,607.46,2324.02,8070.63,0.02,1
20.0017,0.7014,100.0,606.96,2323.95,8070.51,0.02,0
42.0079,0.84,100.0,549.76,2211.93,8090.97,0.02,1
10.0025,0.25,100.0,605.07,2319.05,8127.44,0.03,1
35.006,0.8416,100.0,555.55,2222.78,8060.17,0.02,1
10.0028,0.25,100.0,604.88,2318.89,8132.69,0.03,1
42.001,0.8406,100.0,549.73,2211.85,8083.37,0.02,2
0.0024,0.0006,100.0,642.82,2388.02,8151.24,0.03,0
42.0079,0.84,100.0,551.2,2212.06,8102.66,0.02,3
20.0038,0.7017,100.0,607.36,2324.04,8075.37,0.02,0
0.0005,0.0001,100.0,643.8,2388.14,8189.74,0.03,3
0.0025,0.0,100.0,643.26,2388.17,8144.18,0.03,3
34.9999,0.84,100.0,556.52,2223.0,8064.78,0.02,3
25.0075,0.62,60.0,536.83,1915.62,7885.11,0.02,0
34.9988,0.84,100.0,556.04,2222.93,8066.16,0.02,1
20.003,0.7,100.0,608.34,2324.01,8047.22,0.03,3
0.0027,0.0,100.0,643.12,2388.18,8125.5,0.03,0
0.0021,0.0,100.0,643.46,2388.22,8143.92,0.03,3
41.9998,0.8409,100.0,549.4,2211.93,8086.54,0.02,1
42.0036,0.84,100.0,549.46,2211.85,8083.31,0.02,1
20.0064,0.7,100.0,607.07,2324.02,8061.87,0.02,1
0.0005,0.0,100.0,642.69,2388.13,8142.13,0.03,1
19.9987,0.7013,100.0,607.55,2324.09,8073.64,0.02,1
41.9989,0.8413,100.0,550.13,2212.01,8092.34,0.02,1
42.0063,0.84,100.0,550.09,2211.89,8086.46,0.02,1
20.0037,0.7,100.0,607.39,2324.07,8076.01,0.02,2
9.9985,0.2517,100.0,605.1,2318.99,8137.25,0.03,1
25.0009,0.6206,60.0,536.55,1915.41,7876.23,0.02,0
42.0058,0.84,100.0,550.3,2212.33,8106.7,0.02,2
25.0029,0.62,60.0,537.19,1915.64,7887.14,0.02,1
25.0014,0.6214,60.0,536.92,1915.56,7886.92,0.02,3
42.0049,0.8412,100.0,550.01,2211.44,8064.18,0.02,2
41.9993,0.8411,100.0,549.89,2213.4,8173.33,0.02,3
35.0026,0.84,100.0,555.54,2223.01,8069.6,0.02,1
41.9994,0.84,100.0,550.35,2211.38,8065.34,0.02,3
25.0075,0.6205,60.0,536.83,1915.59,7883.78,0.02,1
20.0071,0.7008,100.0,607.6,2324.16,8083.24,0.02,2
0.0021,0.0011,100.0,643.67,2388.12,8236.83,0.03,3
25.0047,0.62,60.0,536.79,1915.31,7875.21,0.02,1
0.002,0.0,100.0,642.21,2388.01,8154.14,0.03,1
24.9995,0.62,60.0,537.19,1915.3,7874.07,0.02,1
42.0061,0.8418,100.0,549.92,2211.65,8075.43,0.02,2
25.0005,0.62,60.0,537.48,1915.16,7871.18,0.02,3
24.9989,0.6214,60.0,536.89,1915.5,7888.75,0.02,3
0.0014,0.0,100.0,642.91,2388.12,8144.78,0.03,1
42.0019,0.8413,100.0,549.88,2211.68,8077.35,0.02,0
35.0041,0.84,100.0,556.26,2223.07,8071.71,0.02,2
42.0048,0.84,100.0,549.81,2212.52,8114.47,0.02,1
42.0058,0.8401,100.0,550.14,2211.55,8062.57,0.02,2
25.0059,0.62,60.0,536.84,1915.35,7873.51,0.02,2
35.0054,0.84,100.0,555.22,2222.93,8067.18,0.02,1
34.9992,0.8414,100.0,556.36,2223.53,8101.05,0.02,2
10.0043,0.2509,100.0,605.41,2319.09,8123.77,0.03,1
34.9993,0.8419,100.0,555.45,2223.07,8071.86,0.02,0
25.0011,0.6208,60.0,536.39,1915.36,7879.15,0.02,1
35.0019,0.8419,100.0,556.96,2222.67,8049.09,0.02,3
35.0073,0.8408,100.0,555.83,2223.28,8082.63,0.02,0
10.0029,0.2504,100.0,605.5,2318.94,8143.41,0.03,1
20.001,0.7,100.0,608.85,2324.11,8058.75,0.03,3
9.9994,0.25,100.0,605.68,2319.19,8150.33,0.03,3
42.0013,0.8405,100.0,549.46,2211.89,8082.99,0.02,2
34.9998,0.84,100.0,555.44,2223.11,8073.9,0.02,0
41.9997,0.84,100.0,550.12,2212.61,8129.63,0.02,2
42.0042,0.84,100.0,550.1,2212.92,8143.72,0.02,3
35.0074,0.84,100.0,556.17,2222.92,8067.82,0.02,1
42.0039,0.84,100.0,549.91,2212.29,8107.4,0.02,2
25.0034,0.62,60.0,536.79,1915.57,7883.7,0.02,1
25.0064,0.6202,60.0,537.34,1915.22,7872.44,0.02,2
35.0071,0.8415,100.0,556.09,2222.84,8059.22,0.02,2
41.9983,0.84,100.0,550.19,2211.81,8082.74,0.02,3
10.0015,0.25,100.0,604.57,2318.97,8136.7,0.03,0
42.0054,0.8418,100.0,549.9,2211.78,8080.99,0.02,1
25.0074,0.62,60.0,537.26,1915.34,7873.96,0.02,0
25.0001,0.62,60.0,537.02,1915.4,7880.86,0.02,1
25.0014,0.62,60.0,536.87,1915.17,7864.93,0.02,3
20.0019,0.7,100.0,608.49,2324.06,8054.71,0.03,3
10.0023,0.2503,100.0,604.64,2319.01,8115.26,0.03,2
9.9984,0.25,100.0,605.27,2319.14,8120.67,0.03,3
9.9997,0.251,100.0,605.81,2319.22,8115.35,0.03,3
35.0054,0.8407,100.0,555.56,2223.11,8074.34,0.02,1
25.0007,0.6217,60.0,536.53,1915.2,7861.56,0.02,2
25.0047,0.6206,60.0,537.25,1915.49,7881.83,0.02,2
0.0009,0.0016,100.0,643.43,2388.22,8138.86,0.03,2
0.0022,0.0002,100.0,643.17,2388.16,8138.3,0.03,1
19.9996,0.7,100.0,607.57,2324.33,8098.15,0.02,2
42.0001,0.84,100.0,549.56,2212.76,8127.16,0.02,2
24.999,0.6217,60.0,536.3,1915.33,7872.17,0.02,0
34.9988,0.84,100.0,556.51,2223.37,8088.89,0.02,2
35.0013,0.84,100.0,556.37,2223.21,8079.64,0.02,2
42.0009,0.8402,100.0,549.88,2211.68,8075.9,0.02,1
0.0015,0.0,100.0,643.3,2388.17,8154.47,0.03,1
10.0024,0.2519,100.0,605.29,2319.08,8111.48,0.03,3
20.0022,0.7,100.0,607.24,2323.98,8059.82,0.02,1
35.0076,0.8401,100.0,555.53,2223.08,8074.2,0.02,0
10.0035,0.25,100.0,604.76,2318.94,8131.43,0.03,3
42.005,0.8406,100.0,549.55,2212.06,8096.17,0.02,0
42.0024,0.84,100.0,550.15,2211.84,8087.88,0.02,2
25.0059,0.6204,60.0,536.99,1915.24,7873.41,0.02,3
41.9981,0.84,100.0,550.06,2211.45,8062.02,0.02,2
10.0066,0.2503,100.0,605.12,2319.0,8139.33,0.03,1
9.9999,0.25,100.0,605.67,2319.12,8116.0,0.03,3
25.0073,0.62,60.0,537.64,1916.2,7919.01,0.02,3
42.0015,0.84,100.0,549.73,2212.09,8093.98,0.02,0
42.0018,0.84,100.0,549.57,2212.0,8093.35,0.02,1
25.0039,0.622,60.0,537.14,1915.23,7871.48,0.02,3
35.0041,0.8415,100.0,556.09,2223.55,8097.09,0.02,2
35.0039,0.84,100.0,556.01,2223.19,8083.86,0.02,1
0.0,0.0016,100.0,643.56,2388.22,8132.44,0.03,3
42.0015,0.8419,100.0,549.86,2212.42,8113.81,0.02,2
42.0061,0.8419,100.0,550.0,2212.39,8110.05,0.02,1
20.0073,0.7,100.0,607.48,2323.92,8049.88,0.02,1
25.0021,0.621,60.0,536.62,1915.33,7869.22,0.02,1
34.9998,0.84,100.0,556.11,2223.04,8072.23,0.02,1
42.001,0.8401,100.0,549.85,2212.07,8101.48,0.02,3
42.0002,0.84,100.0,549.58,2211.71,8079.75,0.02,2
42.001,0.8417,100.0,549.86,2212.08,8093.14,0.02,1
20.001,0.7001,100.0,608.29,2324.1,8063.49,0.03,3
42.0014,0.84,100.0,549.87,2212.8,8139.05,0.02,2
10.0032,0.2513,100.0,605.13,2319.06,8118.34,0.03,1
0.0014,0.0008,100.0,643.15,2388.15,8118.42,0.03,1
35.0006,0.84,100.0,555.62,2223.19,8076.3,0.02,2
20.0062,0.7019,100.0,608.03,2324.02,8062.91,0.02,1
41.9993,0.8408,100.0,550.58,2211.48,8067.0,0.02,3
9.998,0.25,100.0,605.19,2319.03,8129.46,0.03,1
42.0004,0.8401,100.0,549.96,2212.08,8095.96,0.02,1
25.0033,0.62,60.0,536.83,1915.72,7897.45,0.02,2
42.0021,0.8418,100.0,549.67,2212.65,8127.87,0.02,2
25.0044,0.6206,60.0,536.69,1915.73,7894.27,0.02,1
