agent,total_runs,successful_runs,success_rate,avg_final_new,std_final_new,se_final_new,min_final_new,max_final_new,avg_final_old,std_final_old,se_final_old,min_final_old,max_final_old,avg_improvement_new,std_improvement_new,se_improvement_new,min_improvement_new,max_improvement_new,avg_improvement_old,std_improvement_old,se_improvement_old,min_improvement_old,max_improvement_old,avg_generalization_gap_initial,std_generalization_gap_initial,se_generalization_gap_initial,min_generalization_gap_initial,max_generalization_gap_initial,avg_generalization_gap_final,std_generalization_gap_final,se_generalization_gap_final,min_generalization_gap_final,max_generalization_gap_final,avg_exec_time,std_exec_time,se_exec_time,min_exec_time,max_exec_time,avg_tokens_used,std_tokens_used,se_tokens_used,min_tokens_used,max_tokens_used,avg_iterations,std_iterations,se_iterations,min_iterations,max_iterations,improvement_per_token,improvement_per_second,avg_final_combined,se_final_combined,dataset
ReAct,1,1,1.0,0.6333333333333333,,0.0,0.6333333333333333,0.6333333333333333,0.7866666666666666,,0.0,0.7866666666666666,0.7866666666666666,0.0,,0.0,0.0,0.0,0.0033333333333332993,,0.0,0.0033333333333332993,0.0033333333333332993,0.15000000000000002,,0.0,0.15000000000000002,0.15000000000000002,0.15333333333333332,,0.0,0.15333333333333332,0.15333333333333332,18.918065786361694,,0.0,18.918065786361694,18.918065786361694,3843.0,,0.0,3843,3843,1.0,,0.0,1,1,0.0,0.0,0.71,0.0,eligibility
Reflexion,1,1,1.0,0.6333333333333333,,0.0,0.6333333333333333,0.6333333333333333,0.7833333333333333,,0.0,0.7833333333333333,0.7833333333333333,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.15000000000000002,,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002,,0.0,0.15000000000000002,0.15000000000000002,144.60974216461182,,0.0,144.60974216461182,144.60974216461182,52363.0,,0.0,52363,52363,1.0,,0.0,1,1,0.0,0.0,0.7083333333333333,0.0,eligibility
Self-Discovery,1,1,1.0,0.6333333333333333,,0.0,0.6333333333333333,0.6333333333333333,0.7833333333333333,,0.0,0.7833333333333333,0.7833333333333333,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.15000000000000002,,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002,,0.0,0.15000000000000002,0.15000000000000002,61.54575490951538,,0.0,61.54575490951538,61.54575490951538,3626.0,,0.0,3626,3626,1.0,,0.0,1,1,0.0,0.0,0.7083333333333333,0.0,eligibility
KC-slow,1,1,1.0,0.6666666666666666,,0.0,0.6666666666666666,0.6666666666666666,0.7666666666666667,,0.0,0.7666666666666667,0.7666666666666667,0.033333333333333326,,0.0,0.033333333333333326,0.033333333333333326,-0.019999999999999907,,0.0,-0.019999999999999907,-0.019999999999999907,0.15333333333333332,,0.0,0.15333333333333332,0.15333333333333332,0.10000000000000009,,0.0,0.10000000000000009,0.10000000000000009,166.920865,,0.0,166.920865,166.920865,35236.0,,0.0,35236,35236,1.0,,0.0,1,1,0.0009460021947250916,0.000199695426532407,0.7166666666666667,0.0,eligibility
ToT,1,1,1.0,0.6,,0.0,0.6,0.6,0.8033333333333333,,0.0,0.8033333333333333,0.8033333333333333,,,,,,,,,,,,,,,,0.20333333333333337,,0.0,0.20333333333333337,0.20333333333333337,28.822590112686157,,0.0,28.822590112686157,28.822590112686157,2755.0,,0.0,2755,2755,1.0,,0.0,1,1,,,0.7016666666666667,0.0,eligibility
Standard,1,1,1.0,0.7166666666666667,,0.0,0.7166666666666667,0.7166666666666667,0.9133333333333333,,0.0,0.9133333333333333,0.9133333333333333,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.19666666666666666,,0.0,0.19666666666666666,0.19666666666666666,0.19666666666666666,,0.0,0.19666666666666666,0.19666666666666666,10.264739274978638,,0.0,10.264739274978638,10.264739274978638,1912.0,,0.0,1912,1912,1.0,,0.0,1,1,0.0,0.0,0.815,0.0,financial
KC-fast,1,1,1.0,0.8,,0.0,0.8,0.8,0.9066666666666666,,0.0,0.9066666666666666,0.9066666666666666,0.08333333333333337,,0.0,0.08333333333333337,0.08333333333333337,-0.00666666666666671,,0.0,-0.00666666666666671,-0.00666666666666671,0.19666666666666666,,0.0,0.19666666666666666,0.19666666666666666,0.10666666666666658,,0.0,0.10666666666666658,0.10666666666666658,14.550423,,0.0,14.550423,14.550423,721.0,,0.0,721,721,1.0,,0.0,1,1,0.11558021266759136,0.005727210358993231,0.8533333333333333,0.0,financial
KC-agent,1,1,1.0,0.8833333333333333,,0.0,0.8833333333333333,0.8833333333333333,0.9166666666666666,,0.0,0.9166666666666666,0.9166666666666666,0.04999999999999993,,0.0,0.04999999999999993,0.04999999999999993,0.006666666666666599,,0.0,0.006666666666666599,0.006666666666666599,0.07666666666666666,,0.0,0.07666666666666666,0.07666666666666666,0.033333333333333326,,0.0,0.033333333333333326,0.033333333333333326,6.783769,,0.0,6.783769,6.783769,878.0,,0.0,878,878,1.0,,0.0,1,1,0.0569476082004555,0.0073705339907653,0.8999999999999999,0.0,financial
Plan-Execute,1,1,1.0,0.7166666666666667,,0.0,0.7166666666666667,0.7166666666666667,0.9133333333333333,,0.0,0.9133333333333333,0.9133333333333333,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.19666666666666666,,0.0,0.19666666666666666,0.19666666666666666,0.19666666666666666,,0.0,0.19666666666666666,0.19666666666666666,66.40860724449158,,0.0,66.40860724449158,66.40860724449158,14444.0,,0.0,14444,14444,0.0,,0.0,0,0,0.0,0.0,0.815,0.0,financial
ReAct,1,1,1.0,0.5666666666666667,,0.0,0.5666666666666667,0.5666666666666667,0.7866666666666666,,0.0,0.7866666666666666,0.7866666666666666,-0.15000000000000002,,0.0,-0.15000000000000002,-0.15000000000000002,-0.1266666666666667,,0.0,-0.1266666666666667,-0.1266666666666667,0.19666666666666666,,0.0,0.19666666666666666,0.19666666666666666,0.21999999999999997,,0.0,0.21999999999999997,0.21999999999999997,76.51423335075378,,0.0,76.51423335075378,76.51423335075378,19601.0,,0.0,19601,19601,1.0,,0.0,1,1,-0.007652670782102956,-0.001960419564192396,0.6766666666666666,0.0,financial
Reflexion,1,1,1.0,0.7166666666666667,,0.0,0.7166666666666667,0.7166666666666667,0.9133333333333333,,0.0,0.9133333333333333,0.9133333333333333,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.19666666666666666,,0.0,0.19666666666666666,0.19666666666666666,0.19666666666666666,,0.0,0.19666666666666666,0.19666666666666666,56.92464351654053,,0.0,56.92464351654053,56.92464351654053,19796.0,,0.0,19796,19796,0.0,,0.0,0,0,0.0,0.0,0.815,0.0,financial
Self-Discovery,1,1,1.0,0.7166666666666667,,0.0,0.7166666666666667,0.7166666666666667,0.9133333333333333,,0.0,0.9133333333333333,0.9133333333333333,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.19666666666666666,,0.0,0.19666666666666666,0.19666666666666666,0.19666666666666666,,0.0,0.19666666666666666,0.19666666666666666,42.42396831512451,,0.0,42.42396831512451,42.42396831512451,4968.0,,0.0,4968,4968,1.0,,0.0,1,1,0.0,0.0,0.815,0.0,financial
KC-slow,1,1,1.0,0.8333333333333334,,0.0,0.8333333333333334,0.8333333333333334,0.9116666666666666,,0.0,0.9116666666666666,0.9116666666666666,0.1166666666666667,,0.0,0.1166666666666667,0.1166666666666667,-0.0016666666666667052,,0.0,-0.0016666666666667052,-0.0016666666666667052,0.19666666666666666,,0.0,0.19666666666666666,0.19666666666666666,0.07833333333333325,,0.0,0.07833333333333325,0.07833333333333325,142.03491,,0.0,142.03491,142.03491,49917.0,,0.0,49917,49917,1.0,,0.0,1,1,0.0023372131070911054,0.0008213943083898649,0.8725,0.0,financial
ToT,1,1,1.0,0.8,,0.0,0.8,0.8,0.9133333333333333,,0.0,0.9133333333333333,0.9133333333333333,,,,,,,,,,,,,,,,0.11333333333333329,,0.0,0.11333333333333329,0.11333333333333329,25.153024673461914,,0.0,25.153024673461914,25.153024673461914,2949.0,,0.0,2949,2949,1.0,,0.0,1,1,,,0.8566666666666667,0.0,financial
Standard,1,1,1.0,0.48,,0.0,0.48,0.48,0.258,,0.0,0.258,0.258,0.10799999999999998,,0.0,0.10799999999999998,0.10799999999999998,-0.532,,0.0,-0.532,-0.532,0.41800000000000004,,0.0,0.41800000000000004,0.41800000000000004,-0.22199999999999998,,0.0,-0.22199999999999998,-0.22199999999999998,18.40481972694397,,0.0,18.40481972694397,18.40481972694397,1599.0,,0.0,1599,1599,1.0,,0.0,1,1,0.06754221388367729,0.005868028136232816,0.369,0.0,nasa-FD001
KC-fast,1,1,1.0,0.678,,0.0,0.678,0.678,0.81,,0.0,0.81,0.81,0.30600000000000005,,0.0,0.30600000000000005,0.30600000000000005,0.020000000000000018,,0.0,0.020000000000000018,0.020000000000000018,0.41800000000000004,,0.0,0.41800000000000004,0.41800000000000004,0.132,,0.0,0.132,0.132,15.906863,,0.0,15.906863,15.906863,610.0,,0.0,610,610,1.0,,0.0,1,1,0.5016393442622951,0.019236979660917433,0.744,0.0,nasa-FD001
KC-agent,1,1,1.0,0.678,,0.0,0.678,0.678,0.81,,0.0,0.81,0.81,0.30600000000000005,,0.0,0.30600000000000005,0.30600000000000005,0.020000000000000018,,0.0,0.020000000000000018,0.020000000000000018,0.41800000000000004,,0.0,0.41800000000000004,0.41800000000000004,0.132,,0.0,0.132,0.132,17.237839,,0.0,17.237839,17.237839,772.0,,0.0,772,772,1.0,,0.0,1,1,0.39637305699481873,0.01775164508729894,0.744,0.0,nasa-FD001
Plan-Execute,1,1,1.0,0.39285714285714285,,0.0,0.39285714285714285,0.39285714285714285,0.48214285714285715,,0.0,0.48214285714285715,0.48214285714285715,0.020857142857142852,,0.0,0.020857142857142852,0.020857142857142852,-0.3078571428571429,,0.0,-0.3078571428571429,-0.3078571428571429,0.41800000000000004,,0.0,0.41800000000000004,0.41800000000000004,0.0892857142857143,,0.0,0.0892857142857143,0.0892857142857143,67.10196137428284,,0.0,67.10196137428284,67.10196137428284,9591.0,,0.0,9591,9591,1.0,,0.0,1,1,0.0021746577892965127,0.0003108276185968009,0.4375,0.0,nasa-FD001
ReAct,1,1,1.0,0.668,,0.0,0.668,0.668,0.786,,0.0,0.786,0.786,0.29600000000000004,,0.0,0.29600000000000004,0.29600000000000004,-0.0040000000000000036,,0.0,-0.0040000000000000036,-0.0040000000000000036,0.41800000000000004,,0.0,0.41800000000000004,0.41800000000000004,0.118,,0.0,0.118,0.118,26.10053539276123,,0.0,26.10053539276123,26.10053539276123,3703.0,,0.0,3703,3703,1.0,,0.0,1,1,0.07993518768566028,0.011340763533996058,0.7270000000000001,0.0,nasa-FD001
Reflexion,1,1,1.0,0.372,,0.0,0.372,0.372,0.79,,0.0,0.79,0.79,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.41800000000000004,,0.0,0.41800000000000004,0.41800000000000004,0.41800000000000004,,0.0,0.41800000000000004,0.41800000000000004,129.63867092132568,,0.0,129.63867092132568,129.63867092132568,14052.0,,0.0,14052,14052,0.0,,0.0,0,0,0.0,0.0,0.581,0.0,nasa-FD001
Self-Discovery,1,1,1.0,0.372,,0.0,0.372,0.372,0.79,,0.0,0.79,0.79,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.41800000000000004,,0.0,0.41800000000000004,0.41800000000000004,0.41800000000000004,,0.0,0.41800000000000004,0.41800000000000004,33.841471910476685,,0.0,33.841471910476685,33.841471910476685,5150.0,,0.0,5150,5150,1.0,,0.0,1,1,0.0,0.0,0.581,0.0,nasa-FD001
KC-slow,1,1,1.0,0.678,,0.0,0.678,0.678,0.81,,0.0,0.81,0.81,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.132,,0.0,0.132,0.132,0.132,,0.0,0.132,0.132,72.459099,,0.0,72.459099,72.459099,7398.0,,0.0,7398,7398,1.0,,0.0,1,1,0.0,0.0,0.744,0.0,nasa-FD001
ToT,1,1,1.0,0.668,,0.0,0.668,0.668,0.79,,0.0,0.79,0.79,,,,,,,,,,,,,,,,0.122,,0.0,0.122,0.122,165.69967579841614,,0.0,165.69967579841614,165.69967579841614,2438.0,,0.0,2438,2438,1.0,,0.0,1,1,,,0.7290000000000001,0.0,nasa-FD001
Standard,1,1,1.0,0.265,,0.0,0.265,0.265,0.72125,,0.0,0.72125,0.72125,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.45624999999999993,,0.0,0.45624999999999993,0.45624999999999993,0.45624999999999993,,0.0,0.45624999999999993,0.45624999999999993,24.902769804000854,,0.0,24.902769804000854,24.902769804000854,1219.0,,0.0,1219,1219,1.0,,0.0,1,1,0.0,0.0,0.493125,0.0,nasa-FD002
KC-fast,1,1,1.0,0.5225,,0.0,0.5225,0.5225,0.70375,,0.0,0.70375,0.70375,0.25749999999999995,,0.0,0.25749999999999995,0.25749999999999995,-0.01749999999999996,,0.0,-0.01749999999999996,-0.01749999999999996,0.45624999999999993,,0.0,0.45624999999999993,0.45624999999999993,0.18125000000000002,,0.0,0.18125000000000002,0.18125000000000002,12.171459,,0.0,12.171459,12.171459,610.0,,0.0,610,610,1.0,,0.0,1,1,0.4221311475409835,0.02115605039625898,0.6131249999999999,0.0,nasa-FD002
KC-agent,1,1,1.0,0.5225,,0.0,0.5225,0.5225,0.70375,,0.0,0.70375,0.70375,0.25749999999999995,,0.0,0.25749999999999995,0.25749999999999995,-0.01749999999999996,,0.0,-0.01749999999999996,-0.01749999999999996,0.45624999999999993,,0.0,0.45624999999999993,0.45624999999999993,0.18125000000000002,,0.0,0.18125000000000002,0.18125000000000002,19.018728,,0.0,19.018728,19.018728,915.0,,0.0,915,915,1.0,,0.0,1,1,0.2814207650273224,0.013539286118398662,0.6131249999999999,0.0,nasa-FD002
Plan-Execute,1,1,1.0,0.265,,0.0,0.265,0.265,0.72125,,0.0,0.72125,0.72125,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.45624999999999993,,0.0,0.45624999999999993,0.45624999999999993,0.45624999999999993,,0.0,0.45624999999999993,0.45624999999999993,115.36966466903687,,0.0,115.36966466903687,115.36966466903687,11516.0,,0.0,11516,11516,0.0,,0.0,0,0,0.0,0.0,0.493125,0.0,nasa-FD002
ReAct,1,1,1.0,0.5125,,0.0,0.5125,0.5125,0.6925,,0.0,0.6925,0.6925,0.24749999999999994,,0.0,0.24749999999999994,0.24749999999999994,-0.028749999999999942,,0.0,-0.028749999999999942,-0.028749999999999942,0.45624999999999993,,0.0,0.45624999999999993,0.45624999999999993,0.18000000000000005,,0.0,0.18000000000000005,0.18000000000000005,73.84948897361755,,0.0,73.84948897361755,73.84948897361755,3287.0,,0.0,3287,3287,1.0,,0.0,1,1,0.07529662306054151,0.0033514111396006864,0.6025,0.0,nasa-FD002
Reflexion,1,1,1.0,0.47625,,0.0,0.47625,0.47625,0.695,,0.0,0.695,0.695,0.21125,,0.0,0.21125,0.21125,-0.026249999999999996,,0.0,-0.026249999999999996,-0.026249999999999996,0.45624999999999993,,0.0,0.45624999999999993,0.45624999999999993,0.21874999999999994,,0.0,0.21874999999999994,0.21874999999999994,150.35033679008484,,0.0,150.35033679008484,150.35033679008484,10225.0,,0.0,10225,10225,1.0,,0.0,1,1,0.020660146699266503,0.001405051724592687,0.585625,0.0,nasa-FD002
Self-Discovery,1,1,1.0,0.265,,0.0,0.265,0.265,0.72125,,0.0,0.72125,0.72125,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.45624999999999993,,0.0,0.45624999999999993,0.45624999999999993,0.45624999999999993,,0.0,0.45624999999999993,0.45624999999999993,28.277790069580078,,0.0,28.277790069580078,28.277790069580078,4268.0,,0.0,4268,4268,1.0,,0.0,1,1,0.0,0.0,0.493125,0.0,nasa-FD002
KC-slow,1,1,1.0,0.5225,,0.0,0.5225,0.5225,0.70375,,0.0,0.70375,0.70375,0.25749999999999995,,0.0,0.25749999999999995,0.25749999999999995,-0.01749999999999996,,0.0,-0.01749999999999996,-0.01749999999999996,0.45624999999999993,,0.0,0.45624999999999993,0.45624999999999993,0.18125000000000002,,0.0,0.18125000000000002,0.18125000000000002,180.04252,,0.0,180.04252,180.04252,51123.0,,0.0,51123,51123,1.0,,0.0,1,1,0.0050368718580677966,0.0014302177063506996,0.6131249999999999,0.0,nasa-FD002
ToT,1,1,1.0,0.51,,0.0,0.51,0.51,0.6825,,0.0,0.6825,0.6825,,,,,,,,,,,,,,,,0.1725,,0.0,0.1725,0.1725,13.31844449043274,,0.0,13.31844449043274,13.31844449043274,2684.0,,0.0,2684,2684,1.0,,0.0,1,1,,,0.59625,0.0,nasa-FD002
