LPC_outlet_temperature,HPC_outlet_temperature,LPT_outlet_temperature,Bypass_duct_pressure,HPC_outlet_pressure,Physical_fan_speed,Physical_core_speed,HPC_outlet_static_pressure,Fuel_flow_ratio,Corrected_fan_speed,Bypass_ratio,Bleed_enthalpy,HPT_cool_air_flow,LPT_cool_air_flow,Maintenance_Status
643.13,1596.86,1418.6,21.61,552.21,2388.14,9093.35,48.0,520.28,2388.19,8.4865,395,38.52,23.0844,2
643.56,1598.29,1423.88,21.61,553.07,2388.12,9089.1,47.95,520.86,2388.2,8.4644,394,38.74,23.1691,2
643.06,1592.38,1416.59,21.61,552.31,2388.1,9108.93,47.57,520.64,2388.07,8.4492,394,38.69,23.2278,2
643.06,1599.04,1426.49,21.61,552.1,2388.19,9162.08,48.17,520.64,2388.15,8.5356,396,38.38,23.0888,3
642.23,1587.52,1413.11,21.61,553.84,2388.06,9058.51,47.32,522.59,2388.07,8.4394,392,38.85,23.4134,1
643.26,1592.93,1412.85,21.61,552.02,2388.18,9054.82,47.86,520.66,2388.25,8.4899,393,38.45,23.2457,2
642.42,1595.11,1407.54,21.61,552.65,2388.12,9061.66,47.63,521.65,2388.09,8.4684,393,38.53,23.3174,1
642.66,1587.25,1415.19,21.61,552.24,2388.11,9068.71,47.54,521.23,2388.1,8.4804,393,38.83,23.2497,1
643.19,1596.06,1405.76,21.61,553.16,2388.17,9044.04,47.56,521.64,2388.16,8.4227,393,38.53,23.3186,1
642.98,1587.01,1414.17,21.61,552.92,2388.16,9056.28,47.73,520.41,2388.13,8.4555,396,38.67,23.2392,1
643.22,1594.43,1426.53,21.61,551.86,2388.26,9053.33,47.96,519.89,2388.22,8.5121,395,38.52,23.0389,3
642.74,1588.91,1414.69,21.61,552.68,2388.17,9038.78,47.89,520.78,2388.18,8.4966,395,38.83,23.2151,1
642.84,1584.72,1404.39,21.61,554.18,2388.06,9040.89,47.43,521.54,2388.11,8.4469,393,38.76,23.1699,1
643.45,1597.18,1421.72,21.61,552.59,2388.16,9102.92,47.85,520.32,2388.14,8.4927,394,38.43,23.1393,3
642.25,1592.93,1403.03,21.61,553.16,2388.08,9064.91,47.59,521.52,2388.1,8.4929,393,38.58,23.2607,1
642.28,1595.5,1408.51,21.61,553.86,2388.06,9075.49,47.26,522.16,2388.08,8.4,393,38.92,23.3093,1
643.13,1597.31,1420.55,21.61,552.7,2388.17,9061.47,47.93,520.08,2388.24,8.498,397,38.49,23.2068,2
642.54,1582.16,1402.37,21.61,554.7,2387.99,9083.93,47.28,522.57,2388.05,8.4098,391,38.96,23.3908,1
642.43,1581.07,1403.39,21.61,554.33,2388.04,9082.09,47.25,522.1,2388.07,8.4095,393,38.8,23.3743,1
642.32,1586.38,1409.89,21.61,553.81,2388.02,9068.81,47.2,522.25,2388.02,8.414,393,38.86,23.4043,0
643.7,1609.93,1425.93,21.61,551.96,2388.24,9132.35,48.3,519.89,2388.18,8.5305,396,38.34,23.0647,3
642.41,1589.77,1402.99,21.61,553.43,2388.09,9060.46,47.35,521.48,2388.06,8.4209,392,38.85,23.3329,1
642.74,1588.49,1399.51,21.61,554.56,2387.98,9080.4,47.33,521.51,2387.96,8.4175,393,39.06,23.4982,0
642.44,1587.55,1404.11,21.61,554.23,2388.07,9055.67,47.26,522.15,2388.06,8.4237,392,38.91,23.3373,1
642.89,1598.96,1410.11,21.61,552.9,2388.15,9062.35,47.57,520.79,2388.15,8.4865,394,38.48,23.2111,2
642.25,1588.74,1395.35,21.61,553.62,2388.01,9056.24,47.39,522.11,2388.03,8.4261,393,38.84,23.3977,0
643.64,1596.75,1428.16,21.61,551.91,2388.12,9177.7,47.88,520.63,2388.14,8.4865,396,38.46,23.1719,3
642.56,1592.88,1400.65,21.61,554.17,2388.04,9072.37,47.49,521.28,2388.1,8.4297,393,38.93,23.3032,1
643.02,1594.85,1410.34,21.61,553.92,2388.04,9055.64,47.29,521.79,2388.15,8.4432,392,39.01,23.3423,1
642.57,1589.74,1414.42,21.61,553.64,2388.09,9059.17,47.46,521.33,2388.14,8.4334,392,38.68,23.292,2
643.12,1589.35,1408.98,21.61,552.68,2388.12,9060.78,47.71,521.17,2388.07,8.4362,395,38.55,23.2515,2
642.11,1583.51,1398.47,21.61,554.27,2388.04,9058.57,47.3,522.17,2388.05,8.4236,392,38.83,23.4041,0
642.64,1591.77,1414.79,21.61,552.7,2388.12,9082.96,47.83,521.19,2388.12,8.4318,394,38.68,23.2551,2
642.83,1587.07,1406.5,21.61,554.69,2388.01,9103.2,47.47,522.03,2388.03,8.4757,393,38.85,23.3986,2
643.26,1590.1,1408.81,21.61,553.32,2388.06,9095.88,47.41,520.93,2388.11,8.4811,393,38.95,23.3031,2
643.34,1604.03,1441.49,21.61,551.1,2388.32,9050.0,48.17,519.22,2388.3,8.5298,396,38.24,23.1925,3
643.58,1591.38,1410.57,21.61,552.45,2388.07,9139.52,47.83,521.17,2388.09,8.4673,395,38.7,23.0965,3
642.63,1587.77,1417.21,21.61,554.41,2388.06,9080.02,47.41,521.92,2388.02,8.456,393,39.06,23.3264,1
642.7,1590.85,1405.98,21.61,552.91,2388.14,9057.04,47.69,521.52,2388.16,8.4744,394,38.92,23.2025,1
642.59,1596.44,1412.3,21.61,552.18,2388.15,9043.72,47.82,520.84,2388.15,8.4622,393,38.75,23.1394,1
643.19,1599.47,1429.33,21.61,551.95,2388.15,9059.85,48.14,520.32,2388.24,8.5322,394,38.4,23.2423,3
642.44,1586.61,1418.82,21.61,552.8,2388.12,9054.2,47.71,521.2,2388.14,8.482,393,38.72,23.2623,1
643.49,1597.64,1427.32,21.61,551.32,2388.27,9036.9,48.16,519.64,2388.3,8.5292,396,38.58,23.0664,3
642.83,1582.29,1396.38,21.61,552.46,2388.05,9059.45,47.28,521.78,2388.09,8.4667,393,38.72,23.3784,1
643.12,1590.94,1415.23,21.61,553.39,2388.09,9069.55,47.68,521.32,2388.1,8.4048,392,38.84,23.2914,1
643.03,1582.03,1411.49,21.61,553.87,2388.12,9060.76,47.7,521.34,2388.11,8.4785,393,38.89,23.2834,1
643.01,1592.51,1419.44,21.61,552.78,2388.13,9076.73,47.8,520.91,2388.17,8.4705,394,39.05,23.2571,2
642.91,1594.63,1408.26,21.61,552.96,2388.07,9063.54,47.61,520.89,2388.11,8.4306,393,38.58,23.2276,1
642.87,1596.97,1406.65,21.61,551.55,2388.17,9062.84,47.81,520.55,2388.12,8.4919,394,38.59,23.0992,1
642.48,1585.57,1403.67,21.61,554.58,2388.07,9052.53,47.16,521.93,2388.11,8.4545,391,38.73,23.4269,1
642.68,1590.79,1411.52,21.61,553.9,2388.09,9063.63,47.6,521.18,2388.09,8.4759,393,38.68,23.2591,1
642.88,1591.87,1417.61,21.61,552.65,2388.13,9075.09,47.81,520.66,2388.19,8.4568,395,38.73,23.1815,2
642.24,1584.89,1405.58,21.61,553.73,2388.0,9069.42,47.43,521.66,2388.0,8.4226,393,38.83,23.3454,0
643.32,1599.8,1428.89,21.61,551.59,2388.2,9094.7,48.15,519.78,2388.22,8.4756,396,38.47,23.0308,3
642.68,1595.06,1413.43,21.61,554.09,2388.12,9065.8,47.6,520.99,2388.14,8.4492,393,38.63,23.3011,1
642.72,1586.1,1409.65,21.61,552.97,2388.07,9068.07,47.49,521.42,2388.1,8.4263,393,39.02,23.4212,0
642.7,1585.9,1412.25,21.61,552.66,2388.13,9042.97,47.46,521.49,2388.07,8.3938,394,38.71,23.3461,1
642.97,1594.79,1421.0,21.61,553.11,2388.13,9058.36,47.74,521.38,2388.18,8.423,395,38.75,23.3279,1
643.25,1594.86,1411.83,21.61,552.68,2388.07,9088.16,47.79,521.08,2388.13,8.4388,395,38.67,23.1541,3
642.53,1585.65,1401.78,21.61,553.95,2388.01,9075.63,47.12,521.78,2388.03,8.4133,392,38.95,23.3417,0
642.47,1603.53,1421.98,21.61,552.18,2388.2,9055.78,47.76,520.34,2388.21,8.4786,394,38.62,23.1897,2
643.42,1597.18,1422.74,21.61,552.08,2388.17,9105.17,48.04,520.55,2388.2,8.5442,395,38.55,23.1271,3
642.56,1589.95,1414.78,21.61,552.74,2388.15,9052.15,47.62,520.81,2388.15,8.457,393,38.6,23.2029,2
643.43,1601.28,1423.66,21.61,551.36,2388.19,9073.87,48.1,520.36,2388.25,8.5068,395,38.68,23.0917,3
643.33,1594.2,1415.71,21.61,552.2,2388.19,9055.5,48.01,520.44,2388.19,8.4874,396,38.69,23.1258,3
644.11,1604.22,1424.69,21.61,551.72,2388.24,9060.21,47.89,519.92,2388.21,8.4996,396,38.66,23.0685,3
643.62,1599.12,1419.88,21.61,552.74,2388.08,9121.2,47.86,520.62,2388.11,8.4912,395,38.68,23.188,3
643.46,1604.91,1422.76,21.61,551.73,2388.25,9115.15,47.95,520.23,2388.25,8.5182,396,38.53,23.2187,3
642.69,1586.55,1414.38,21.61,553.54,2388.11,9057.52,47.4,521.89,2388.09,8.4305,394,38.85,23.4283,0
642.6,1597.6,1409.75,21.61,553.3,2388.1,9081.31,47.48,520.94,2388.1,8.4698,394,38.79,23.2105,1
643.13,1594.59,1414.65,21.61,553.32,2388.07,9082.85,47.84,520.53,2388.1,8.4657,394,38.6,23.223,2
642.66,1586.58,1417.13,21.61,553.28,2388.15,9051.34,47.74,520.96,2388.12,8.4525,394,38.73,23.2646,1
642.35,1593.21,1399.55,21.61,554.21,2388.0,9078.07,47.19,522.25,2388.0,8.4312,392,38.91,23.3816,1
642.14,1588.91,1410.91,21.61,553.69,2388.01,9071.48,47.48,521.72,2388.1,8.431,392,38.68,23.3088,1
643.11,1588.27,1411.02,21.61,553.32,2388.08,9106.85,47.49,521.41,2388.03,8.4544,395,38.81,23.2811,2
642.89,1589.06,1421.1,21.61,552.86,2388.22,9041.04,47.93,520.54,2388.18,8.481,395,38.48,23.2491,1
642.54,1590.61,1401.42,21.61,553.53,2388.09,9056.57,47.44,521.23,2388.11,8.3944,394,38.62,23.3011,1
642.48,1596.66,1409.75,21.61,552.98,2388.16,9039.46,47.65,521.53,2388.18,8.4628,394,38.85,23.2269,1
642.85,1595.85,1415.89,21.61,553.61,2388.13,9070.55,47.44,521.75,2388.08,8.4434,394,38.76,23.2791,1
642.77,1597.71,1413.83,21.61,552.81,2388.12,9051.41,47.71,521.2,2388.14,8.4985,393,38.86,23.2156,1
642.02,1584.35,1401.21,21.61,553.96,2388.03,9060.12,47.32,522.11,2388.01,8.3836,392,39.19,23.3494,0
643.07,1605.32,1427.27,21.61,551.65,2388.16,9096.42,48.24,519.98,2388.13,8.4994,396,38.5,23.0841,3
642.5,1584.6,1406.9,21.61,553.72,2388.03,9063.76,47.4,521.93,2388.02,8.4374,393,38.95,23.2993,1
642.95,1583.75,1403.08,21.61,553.62,2388.15,9055.69,47.61,521.19,2388.08,8.44,393,38.89,23.3786,1
642.11,1591.82,1406.24,21.61,553.33,2388.13,9066.26,47.4,521.67,2388.13,8.4608,392,38.77,23.2909,1
642.87,1595.71,1410.54,21.61,552.75,2388.14,9060.38,47.66,521.07,2388.14,8.4653,393,38.85,23.2218,1
644.18,1607.21,1423.13,21.61,551.23,2388.28,9057.79,47.87,519.65,2388.25,8.5495,395,38.39,23.1279,3
642.72,1586.44,1415.42,21.61,553.0,2388.13,9090.37,47.64,521.2,2388.1,8.4805,395,38.83,23.2668,1
643.25,1599.63,1418.14,21.61,552.95,2388.12,9125.43,47.95,520.69,2388.18,8.4759,395,38.78,23.0681,2
643.28,1595.14,1412.28,21.61,551.99,2388.2,9051.56,47.63,520.5,2388.17,8.4645,393,38.69,23.2363,1
642.5,1597.45,1413.69,21.61,553.89,2388.1,9071.12,47.63,521.35,2388.06,8.4503,393,38.8,23.3327,1
642.58,1587.41,1414.2,21.61,553.02,2388.14,9059.42,47.68,521.09,2388.08,8.4484,394,38.68,23.1895,2
642.28,1589.77,1407.02,21.61,553.84,2388.02,9082.33,47.11,521.65,2388.01,8.4285,394,38.7,23.3987,0
643.56,1593.31,1412.5,21.61,552.51,2388.12,9078.35,47.77,520.68,2388.08,8.4811,395,38.81,23.1568,2
642.65,1584.83,1398.19,21.61,553.94,2388.04,9054.0,47.54,521.43,2388.07,8.4519,391,38.83,23.2787,1
642.49,1594.29,1412.05,21.61,552.15,2388.22,9039.67,47.83,520.58,2388.16,8.445,392,38.89,23.2644,1
643.4,1589.95,1413.29,21.61,552.63,2388.14,9040.44,47.92,520.53,2388.22,8.4305,396,38.73,23.2081,1
643.13,1589.33,1415.61,21.61,553.27,2388.14,9061.25,47.64,521.16,2388.16,8.4372,393,38.85,23.2787,2
643.85,1603.36,1425.87,21.61,551.28,2388.29,9038.73,48.4,519.15,2388.27,8.5559,396,38.37,23.1615,3
642.92,1597.34,1409.63,21.61,552.79,2388.09,9066.09,47.69,521.36,2388.14,8.446,393,38.66,23.238,2
643.25,1601.16,1414.9,21.61,553.48,2388.01,9097.87,47.56,521.56,2388.02,8.4438,394,38.75,23.3408,1
643.71,1599.54,1419.52,21.61,552.08,2388.17,9133.8,47.87,520.4,2388.16,8.4988,395,38.48,23.0585,3
642.65,1595.03,1413.64,21.61,552.76,2388.15,9070.82,47.74,520.76,2388.19,8.4717,395,38.6,23.1534,1
642.36,1585.69,1400.0,21.61,553.48,2388.09,9072.43,47.44,521.97,2388.07,8.4085,395,38.68,23.3259,0
642.59,1588.95,1409.01,21.61,553.55,2388.01,9088.94,47.2,522.07,2387.99,8.4681,394,38.93,23.2783,1
642.6,1602.68,1424.29,21.61,553.14,2388.08,9162.42,47.76,520.89,2388.06,8.4783,396,38.63,23.2429,3
643.07,1591.43,1401.69,21.61,553.28,2388.18,9047.76,47.53,521.6,2388.15,8.4295,392,38.88,23.2559,1
643.86,1598.43,1430.93,21.61,551.74,2388.3,9070.66,48.15,519.73,2388.25,8.5433,397,38.57,22.9964,3
643.14,1603.37,1431.51,21.61,552.52,2388.18,9075.25,47.95,520.26,2388.24,8.5086,396,38.46,23.1039,3
642.7,1595.48,1402.07,21.61,553.83,2388.04,9069.96,47.31,521.22,2388.05,8.4091,393,38.82,23.3199,1
643.03,1596.71,1410.45,21.61,553.52,2388.13,9063.12,47.45,521.15,2388.07,8.4519,394,38.86,23.3088,2
643.5,1602.64,1433.3,21.61,551.7,2388.21,9107.27,48.28,519.72,2388.22,8.5238,395,38.48,23.1299,3
642.89,1594.75,1416.95,21.61,553.63,2388.08,9114.32,47.63,521.06,2388.14,8.4479,395,38.72,23.1607,2
643.47,1596.53,1427.07,21.61,551.41,2388.26,9040.88,47.98,520.02,2388.24,8.5062,396,38.63,23.0568,3
642.24,1587.77,1405.55,21.61,554.34,2388.03,9067.93,47.42,522.6,2388.07,8.4112,392,38.75,23.3883,1
642.66,1584.07,1411.65,21.61,552.81,2388.15,9051.11,47.65,520.67,2388.08,8.4495,394,38.62,23.2358,1
642.98,1596.83,1414.92,21.61,553.01,2388.06,9153.59,47.5,521.42,2388.01,8.4598,394,38.77,23.1368,3
641.95,1590.62,1398.22,21.61,553.91,2388.06,9075.71,47.51,521.97,2388.06,8.4407,393,38.91,23.3253,1
642.19,1597.37,1406.76,21.61,554.27,2388.07,9078.81,47.76,521.78,2388.08,8.4275,394,38.9,23.2221,1
643.36,1603.48,1419.33,21.61,551.57,2388.16,9170.51,47.91,520.75,2388.15,8.5011,395,38.7,23.1225,3
644.47,1595.68,1437.53,21.61,550.51,2388.26,9060.44,48.2,519.64,2388.25,8.5419,396,38.44,23.0087,3
643.06,1589.57,1412.43,21.61,553.02,2388.09,9063.4,47.71,520.85,2388.12,8.4502,393,38.79,23.2527,2
641.84,1597.77,1406.92,21.61,553.26,2388.06,9066.27,47.24,521.57,2388.0,8.3646,390,38.96,23.3389,1
642.99,1591.45,1425.14,21.61,552.25,2388.13,9117.46,48.01,520.06,2388.18,8.46,396,38.78,23.0648,3
643.55,1594.02,1423.88,21.61,552.35,2388.23,9049.08,47.85,520.43,2388.23,8.4681,395,38.81,23.1406,2
642.48,1591.23,1413.13,21.61,553.64,2388.1,9067.47,47.57,522.26,2388.08,8.402,392,38.86,23.3541,1
641.9,1587.99,1403.67,21.61,554.4,2388.06,9058.43,47.31,522.5,2388.04,8.4358,392,39.05,23.3785,0
643.04,1597.96,1425.23,21.61,552.74,2388.08,9082.75,47.47,520.48,2388.11,8.4545,394,38.65,23.2602,1
643.26,1594.24,1426.02,21.61,552.09,2388.25,9056.84,47.95,519.74,2388.19,8.5004,395,38.49,23.2516,3
643.34,1597.41,1427.68,21.61,551.04,2388.29,9066.91,47.97,519.68,2388.26,8.5161,395,38.43,22.995,3
643.02,1595.82,1422.54,21.61,552.46,2388.18,9068.36,47.84,520.43,2388.13,8.4626,396,38.83,23.1767,3
643.09,1586.82,1415.7,21.61,552.74,2388.16,9065.48,47.73,521.02,2388.15,8.4748,393,38.72,23.1972,2
642.78,1596.86,1416.49,21.61,552.73,2388.13,9051.31,47.65,521.74,2388.14,8.4984,395,38.69,23.2329,2
642.06,1588.22,1400.17,21.61,553.42,2388.01,9063.36,47.2,522.05,2388.01,8.383,392,38.88,23.3085,0
642.44,1585.01,1408.47,21.61,552.27,2388.12,9056.85,47.48,521.69,2388.1,8.4643,394,38.78,23.2824,1
643.24,1601.58,1414.72,21.61,552.92,2388.13,9110.47,47.9,520.55,2388.11,8.4747,395,38.65,23.2767,2
643.44,1600.4,1420.29,21.61,552.4,2388.16,9142.03,47.84,520.41,2388.13,8.4906,396,38.61,23.1144,3
643.82,1597.65,1420.06,21.61,551.58,2388.15,9117.25,48.01,520.52,2388.13,8.5194,394,38.52,23.0807,3
642.63,1595.88,1409.41,21.61,552.55,2388.1,9065.79,47.75,520.61,2388.14,8.4366,395,38.68,23.1833,2
643.11,1591.13,1417.05,21.61,553.02,2388.09,9084.1,47.9,521.01,2388.12,8.4467,395,38.76,23.2419,1
642.4,1586.97,1407.59,21.61,553.5,2388.07,9060.85,47.64,521.32,2388.07,8.4413,394,38.75,23.3585,1
643.14,1595.01,1411.22,21.61,553.42,2388.14,9062.98,47.42,521.94,2388.14,8.47,392,38.66,23.2239,1
643.23,1588.09,1410.34,21.61,553.75,2388.02,9068.8,47.6,522.0,2388.06,8.47,393,38.68,23.3118,1
642.66,1587.07,1410.27,21.61,554.08,2388.11,9056.2,47.35,522.37,2388.05,8.4279,391,38.79,23.298,1
643.21,1588.64,1401.59,21.61,553.06,2388.13,9054.78,47.49,521.51,2388.1,8.4551,392,38.88,23.3139,1
643.37,1600.45,1427.14,21.61,552.04,2388.29,9039.25,48.04,519.81,2388.28,8.5039,395,38.44,23.0935,3
642.81,1590.76,1412.18,21.61,553.11,2388.08,9068.16,47.52,521.75,2388.11,8.449,394,38.8,23.2125,1
642.18,1586.09,1390.45,21.61,554.27,2388.04,9072.92,47.06,522.07,2387.99,8.4299,392,39.0,23.2948,0
643.64,1593.34,1429.2,21.61,552.59,2388.13,9162.76,47.88,520.83,2388.13,8.4977,396,38.48,23.1248,3
642.47,1587.09,1407.88,21.61,553.07,2388.03,9092.21,47.34,521.79,2388.07,8.4359,395,38.89,23.3755,1
643.65,1601.93,1422.98,21.61,551.78,2388.22,9038.84,48.06,520.2,2388.22,8.5263,397,38.64,23.0703,3
642.89,1596.93,1414.79,21.61,552.79,2388.18,9047.62,47.88,520.66,2388.16,8.4423,393,38.72,23.2878,2
643.81,1607.37,1426.15,21.61,550.82,2388.3,9080.28,48.26,519.19,2388.2,8.53,395,38.46,23.1067,3
642.78,1585.01,1407.19,21.61,552.97,2388.04,9069.95,47.59,521.75,2388.08,8.4509,392,38.83,23.2543,1
642.82,1586.54,1414.02,21.61,552.7,2388.15,9058.1,47.72,520.95,2388.07,8.4603,393,38.97,23.2899,1
642.34,1591.79,1405.81,21.61,554.1,2388.1,9057.39,47.53,521.68,2388.07,8.4218,393,38.92,23.4398,1
643.58,1599.79,1432.85,21.61,551.3,2388.22,9068.13,48.08,519.36,2388.2,8.5353,396,38.56,23.0203,3
642.85,1582.03,1415.6,21.61,553.13,2388.06,9058.23,47.68,521.8,2388.12,8.4389,392,38.79,23.2497,1
642.06,1587.7,1409.15,21.61,553.91,2388.04,9076.22,47.49,521.63,2388.1,8.445,394,38.75,23.291,1
642.94,1590.89,1409.25,21.61,553.26,2388.07,9072.4,47.54,521.51,2388.03,8.457,394,39.03,23.1897,1
642.67,1597.88,1413.86,21.61,553.98,2388.1,9063.94,47.52,521.53,2388.06,8.4541,394,38.63,23.1568,1
642.56,1590.31,1403.29,21.61,552.5,2388.11,9086.88,47.56,521.46,2388.06,8.4396,393,38.81,23.1964,1
642.78,1590.58,1414.81,21.61,551.93,2388.21,9054.3,47.68,521.34,2388.14,8.4544,394,38.61,23.1994,2
643.46,1593.72,1422.59,21.61,552.04,2388.11,9154.65,47.93,520.75,2388.1,8.5141,395,38.49,23.2036,3
643.06,1602.98,1424.52,21.61,551.92,2388.22,9059.89,47.84,520.78,2388.23,8.4667,395,38.68,23.2366,3
642.71,1594.26,1410.08,21.61,553.3,2388.14,9066.8,47.63,521.32,2388.08,8.4642,392,38.71,23.2413,1
642.43,1590.01,1403.3,21.61,553.4,2388.04,9081.19,47.33,521.47,2388.04,8.4338,394,38.7,23.3149,1
643.01,1585.15,1401.83,21.61,553.26,2388.03,9107.35,47.5,522.09,2387.98,8.4261,393,38.94,23.3445,2
642.38,1597.91,1411.05,21.61,552.56,2388.21,9055.93,47.81,520.85,2388.16,8.4773,394,38.72,23.2826,2
643.23,1601.14,1427.03,21.61,551.86,2388.29,9042.15,48.17,519.92,2388.29,8.5348,395,38.48,23.0716,3
643.38,1603.33,1421.64,21.61,552.36,2388.14,9125.58,47.85,520.66,2388.11,8.5536,396,38.59,23.1146,3
643.46,1600.36,1413.4,21.61,553.05,2388.15,9064.22,47.75,521.01,2388.15,8.4602,395,38.78,23.2303,1
642.42,1593.8,1402.67,21.61,553.76,2388.12,9070.97,47.4,521.2,2388.06,8.4137,394,38.94,23.3716,1
642.9,1588.52,1418.0,21.61,552.03,2388.25,9028.21,47.97,520.3,2388.26,8.4852,394,38.62,23.1101,3
642.99,1585.6,1406.2,21.61,554.06,2388.07,9063.61,47.37,521.89,2388.1,8.4378,393,38.55,23.3209,1
642.93,1591.77,1420.78,21.61,552.3,2388.11,9089.65,47.57,520.97,2388.08,8.4748,394,38.75,23.2142,1
643.04,1600.74,1415.53,21.61,551.97,2388.17,9078.31,47.74,520.89,2388.18,8.5051,396,38.64,23.2676,3
643.2,1591.23,1415.26,21.61,553.2,2388.2,9060.27,47.83,521.07,2388.08,8.45,395,38.63,23.2762,1
642.45,1592.7,1410.57,21.61,553.66,2388.05,9057.99,47.6,521.94,2388.09,8.4555,392,39.02,23.335,1
643.21,1590.21,1404.97,21.61,552.96,2388.1,9064.05,47.58,520.82,2388.07,8.4168,393,38.66,23.3462,1
642.88,1592.84,1419.59,21.61,552.26,2388.15,9057.49,47.98,520.63,2388.21,8.4854,395,38.65,23.2799,2
643.23,1599.6,1419.41,21.61,551.46,2388.14,9126.73,47.72,521.26,2388.04,8.4752,395,38.45,23.2203,3
643.4,1601.0,1407.63,21.61,553.0,2388.1,9171.45,47.97,521.03,2388.09,8.5016,397,38.58,23.2,3
642.59,1593.82,1412.66,21.61,553.57,2388.04,9065.53,47.55,521.48,2388.13,8.4319,392,38.84,23.4029,1
643.56,1598.38,1419.94,21.61,551.9,2388.2,9092.3,48.0,520.39,2388.19,8.5209,397,38.49,23.1281,3
643.41,1594.61,1426.06,21.61,552.14,2388.3,9042.55,47.97,520.74,2388.25,8.5144,395,38.68,23.0157,2
642.58,1590.97,1402.36,21.61,554.42,2388.02,9059.25,47.17,522.08,2388.08,8.4376,391,38.99,23.3748,0
643.15,1598.35,1417.83,21.61,551.88,2388.21,9063.52,47.81,520.3,2388.23,8.4978,396,38.6,23.2105,3
642.37,1592.27,1408.12,21.61,553.74,2388.09,9068.32,47.53,521.35,2388.06,8.4347,392,38.76,23.2929,1
642.02,1582.58,1397.16,21.61,553.74,2388.02,9057.49,47.3,521.7,2388.04,8.3877,391,38.98,23.2612,1
642.79,1601.49,1423.53,21.61,552.43,2388.11,9113.04,47.94,520.21,2388.1,8.4736,395,38.46,23.1739,2
642.84,1591.35,1415.55,21.61,553.25,2388.21,9048.74,47.8,520.67,2388.16,8.4358,394,38.83,23.2659,2
643.56,1589.07,1426.59,21.61,551.92,2388.15,9123.57,47.93,519.63,2388.13,8.4991,398,38.57,23.1349,3
643.15,1597.62,1420.81,21.61,552.95,2388.11,9061.44,47.78,520.78,2388.17,8.5035,396,38.59,23.236,2
643.15,1593.0,1406.1,21.61,553.01,2388.14,9061.32,47.72,520.98,2388.17,8.4977,393,38.77,23.117,1
643.4,1595.53,1418.63,21.61,552.3,2388.22,9065.81,47.95,520.22,2388.17,8.4856,393,38.42,23.1793,2
642.22,1585.7,1397.14,21.61,553.58,2388.02,9082.74,47.2,522.02,2388.01,8.4298,392,38.87,23.3531,1
